DBA Name,Street Address,Yelp Name,Yelp ID,Price Level,Rating,Review Count,Categories,Is Closed,Yelp Address
Dominguez Mexican Bakery,2951 24th St,La Palma Mexicatessen,bNvaWa9wSLHjlFlrD7i9Ow,$,4.5,637,Mexican,FALSE,2884 24th St
Covered Wagon Hotel,800 Moscow St,Painted Ladies Tour Company,JRS7vgulRdFBhmT1cxGzrQ,No record in Yelp,5,194,Bus Tours,FALSE,"San Francisco, CA 94102"
Simple Espresso,1133 1/2 Shotwell St,Four Barrel Coffee,E8RJkjfdcwgtyoPMjQ_Olg,$,4,2084,Coffee & Tea,FALSE,375 Valencia St
Cathay House,718 California St,Dim Sum Corner,UrlIkoy5MySVMKY30bid1w,$$,3.5,117,Dim Sum,FALSE,601 Grant Ave
Liverpool Lils Restaurant,2942 Lyon St,Pizzeria Avellino,YGdCt1nVHcQCCDVCCRmS6A,$,3.5,335,Pizza,FALSE,2769 Lombard St
Peter D's Restaurant,2201 Van Ness Ave,Beach Street Grill Restaurant,nY3qsB75yCrOiTZcsrzFDw,$$,4,463,American (Traditional),FALSE,380 Beach St
Pac Cafe,7000 Geary Blvd,Breadbelly,w3mpnxz64nU8VwHDLz3S6g,$$,4.5,175,Bakeries,FALSE,1408 Clement St
Hunan Restaurant,924 Sansome St,Hunan Home's Restaurant,cHoNUKltOAJWSmNfsZ1h-w,$$,4,2147,Chinese,FALSE,622 Jackson St
Hunan Restaurant,1016 Bryant St,Hunan Springs Chinese Restaurant,OH-E-ifykNpKRX0ibZSZNA,$$,4,154,Chinese,FALSE,4939 Hamilton Blvd
Mifune Restaurant,1737 Post St,Mifune Don,KiQuvELzKiHx5qg3RWaoxg,$$,3.5,447,Japanese,FALSE,22 Peace Plz
Turk & Larkin Deli,476 Turk St,Turk & Larkin Deli,b1Y_BNGcGuH07N3GV9bPHg,$,4.5,107,Delis,TRUE,476 Turk St
Twilight Cafe,2600 Mcallister St,Twilight Cafe,iRittrE0Pld2u3Vq_lxC_Q,$,4,115,Middle Eastern,TRUE,2600 McAllister St
2600 Mcallister St Apts,2600 Mcallister St,Valerie Lee Landlord,PekmDZ8HKlw4DNSC75Dweg,No record in Yelp,2.5,8,Apartments,FALSE,1153 Mission St
Las Margaritas Restaurant,2801 Leavenworth St,La Negra - Margarita,nAy3EubnPkAXHaIpTieOzA,No record in Yelp,5,1,Local Flavor,FALSE,Bahia Way
Blooms Saloon,1318 18th St,Maggiano's Little Italy,Kx_d7X7qjj9EoX-A7eC3gA,$$,4,1844,Italian,FALSE,189 The Grove Dr
Blondies Pizza,63 Powell Street,Pinocchios Pizza & Subs,4y49CSzDlkZB7nkyViZuzg,$,4,692,Pizza,FALSE,74 Winthrop St
Cha Cha Cha Restaurant,1801 Haight St,Cha Cha Cha,kOYj2sGMZnyC1lU-_Uw5fA,$$,4,3212,Caribbean,FALSE,1801 Haight St
Viva Pizza Restaurant,318 Columbus Ave,Viva Italiano,QNp4QCGLcZleShFRCt8xgw,$$,3,350,Pizza,FALSE,67 Bill Drake Way
Estia Restaurant,1224 Grant Ave,North Beach Gyros,Bkwx7HCySzJVJN3JoZRU1w,$$,4,350,Mediterranean,FALSE,701 Union St
Greco Roman Catering,316 Columbus Ave,Floral Terrace,IbfwuSsrgMcKu03uZpuMcw,No record in Yelp,4,51,Caterers,FALSE,250 Jericho Tpke
Damian Produce,3024 San Bruno Ave B,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Goza Goza Taco,3024 San Bruno Ave #B,Goza Goza Taco Truck,1igintKDjjeozmBV6Y3zQQ,$,4,24,Food Trucks,FALSE,Townsend St & 5th St
Venetian Deli & Cafe,882 Sutter St,Limoncello,2hGIxgprREdBieylltWaRQ,$$,5,823,Sandwiches,FALSE,1400 Sutter St
Pacific Business Machines,882 Sutter St,KBA Docusys,_cgqRlsZeq21Lj4-sq1QWA,$,4,31,IT Services & Computer Repair,FALSE,49 Stevenson St
Albertos Food Market,882 Sutter St,Tropisueno,_EncdQezAzcShATMFXL0dA,$$,4,4405,Cocktail Bars,FALSE,75 Yerba Buena Ln
Sun Kwong Restaurant,1400 Jackson St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sushi Boat Restaurant,389 Geary St,Floating Sushi Boat,2fEhhQjUHVmbN15OyeyAqg,$$,2,312,Conveyor Belt Sushi,FALSE,700 Grant Ave
Daily Health,1235 9th Ave,Daily Health Food Center,jSvO1fZzAh0X9q2zxtSZQQ,$$,4,89,Health Markets,TRUE,1235 9th Ave
Grasslands,905 Kearny St,Grasslands Bar & Lounge,BcADcyvlFTIjeVG7R70RKA,$,3.5,81,Bars,FALSE,905 Kearny St
South Park Cafe Inc,108 Park St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Golden Boy Pizza,4531 Mission St,Golden Boy Pizza,PTFxtXS47ZVRCdZIrEWvGw,$,4.5,3471,Pizza,FALSE,542 Green St
Cheese Steak Shop The,1716 Divisadero St,The Cheese Steak Shop,RJjuozKTsgwPNa429tnxbg,$$,4,912,Sandwiches,FALSE,1716 Divisadero St
Shangrila Vegetarian Restrnt,2026 Irving St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Bills Place,2315 Clement St,Bill's Place,Gi15y5zxXg5yzcb-YqYg2Q,$$,3.5,738,Burgers,FALSE,2315 Clement St
Un Poco Di Tuto Bakery,1265 Battery St,Trattoria La Siciliana,vxHYA9vBoLqsvWyslQcE0A,$$,3.5,1435,Italian,FALSE,2993 College Ave
Il Fornaio Gastronomia Rest,1265 Battery St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Chung King Restaurant,606 Jackson St,Bombay Chopsticks By India House,_Ags4Z_wH7Q_R0V7QD9Ygw,$$,3,530,Indian,FALSE,721 W Golf Rd
Connecticut Yankee,100 Connecticut St,Connecticut Yankee,CP2uHH8PQ-Wg3i5C8-Lidg,$$,3.5,499,Sports Bars,FALSE,100 Connecticut St
Piccolo Pete,2155 Bay Shore Blvd,Piccolo Petes Cafe,FzLd7AAQ0iDmNCdrie3P1Q,$,5,262,Coffee & Tea,TRUE,2155 Bayshore Blvd
Eddies Cafe,800 Divisadero St,Eddie's Cafe,V6JS0EaR0Gq_SSDllaOqKw,$,4,626,Breakfast & Brunch,FALSE,800 Divisadero St
Jj Ice Cream,1152 Irving St,Let's Roll Ice Creamery,ow9SMnRPPyYKva4KGthwrQ,$,4,275,Ice Cream & Frozen Yogurt,FALSE,1152 Irving St
Dillers Deli,348 Pine St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Om Indian Cuisine,1668 Haight St,Om Indian Cuisine,ZvIpOP6cWfZWHLKdNAvfOg,$$,4,290,Indian,FALSE,1668 Haight St
Dave's,29 3rd St,Dave's New York,B7mqtE-bJNm0Gen88YCiqw,No record in Yelp,4.5,78,Men's Clothing,FALSE,581 Ave Of The Americas
Kappa Restaurant,1700 Post St K,OzaOza,Y96P7pYNYya_bP-Ogun-0w,$$$$,4.5,107,Japanese,FALSE,1700 Post St
Caffe Roma Coffee Roasting Co,526 Columbus Ave,Caffé Vittoria,63DvXSks1tHIDajOGvwnRQ,$,4,924,Coffee & Tea,FALSE,296 Hanover St
Yancys Saloon,736 Irving St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Shiki,251 3rd St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sushi Chef Training Center,251 3rd St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sushiclub.com,71 5th St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Sushi Club,71 5th St,West End Johnnies,G4enu8vxbQk4h_2Cd3TEgA,$$,3,310,American (Traditional),FALSE,138 Portland St
Neway Investment,71 5th St,Tatte Bakery & Cafe,K48RyUD_dYWfknfS9h0Fwg,$$,3.5,379,Coffee & Tea,FALSE,1288 Massachusetts Ave
Jacks Bar,2801 Leavenworth St #J31-32,The Red Jack Saloon,ndWOt4-xn82FH5-GP_EF4w,$,4,252,Sports Bars,FALSE,131 Bay St
Beach St Bar,2801 Leavenworth St #J31-32,Black Magic Voodoo Lounge,uA6jOVyeAXR8juuNqU_m9A,$,4,173,Dive Bars,FALSE,1400 Lombard St
Jacks Cannery,2801 Leavenworth St,Blue Mermaid Restaurant,YQjAeNqo9V8Xw_ECSj7eHQ,$$,3.5,801,Seafood,FALSE,495 Jefferson St
Babys Eatery & Palabok,4609 Mission St,Baby's Eatery and Palabok,NLc5sKgqHcH95qMoCGikJg,$,4,86,Filipino,FALSE,4609 Mission St
Garibaldis On Presidio,347 Presidio Ave,Garibaldi's,p6bLw7PS63Kbge_wyIOP8w,$$$,4,536,American (New),FALSE,347 Presidio Ave
Burger King,4780 Mission St,Burger King,ImUbqHAIdTJ8xmwJLeU2Zw,$,1.5,39,Burgers,FALSE,4780 Mission Street
Kenny's Restaurant,518 Van Ness Ave,Kenny's Cafe,#NAME?,$$,4,187,Chinese,FALSE,640 Crespi Dr
Caffe Delle Stelle,395 Hayes St,a Mano,XhJ6ZYagcWNHpJ1H1KvNlQ,$$,4,859,Italian,FALSE,450 Hayes St
4739 Mission St Building,4739 Mission St,The Mission,X9tz5u205a4YgnGHr9_JSA,No record in Yelp,4,148,Local Flavor,FALSE,"San Francisco, CA 94110"
Golden Coffee,901 Sutter St,Golden Coffee Shop,rBwyayyqFMD8chqenrRxag,$,4,480,Breakfast & Brunch,FALSE,901 Sutter St
Reinas Restaurant,5479 Mission St,Reinas Restaurant,YqYNt-kyPz9ljjeBDYSsPg,$,3.5,132,Salvadoran,FALSE,5479 Mission St
Taqueria Reina's,5300 Mission St,Reinas Restaurant,YqYNt-kyPz9ljjeBDYSsPg,$,3.5,132,Salvadoran,FALSE,5479 Mission St
Jade Cafe,18 Geary Blvd,Jade Cafe,#NAME?,$,3,288,Chinese,FALSE,1688 Bryant St
Mikado Sushi Restaurant,1684 Bryant St,Mikado Sushi,HyK-xSMvML7-ksp4_7fpUA,$$,3,374,Japanese,FALSE,1684 Bryant St
Caffe Puccini,411 Columbus Ave,Sant Ambroeus West Village,wq43ljNSuSMG81qKHE7YpQ,$$$,3.5,243,Italian,FALSE,259 W 4th St
Rose Pistola,532 Columbus Ave,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
College Market,995 Ellis St,College Market,KjyMNpNb7wBeszJLQF5-RA,$$,4,24,Grocery,FALSE,995 Ellis St
977 Bistro,977 Ellis St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Etc Enterprise Intl (U.s.a),770 C Sacramento St,Alamo Rent A Car,1PPQ_bwH1sXv6dmCgCcAcg,No record in Yelp,3.5,410,Car Rental,FALSE,780 N McDonnell Rd
Chinese Svc Ctr Of No America,770 C Sacramento St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
China Us Council Promotion Tra,770 C Sacramento St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Int'l Svc Ctr Of No America,770 C Sacramento St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Oriental Gourmet,774 Sacramento St C,South Villa Restaurant,jU2R57cxuSzIu3IUtNRSxQ,$$,3.5,154,Chinese,FALSE,7223 55th St
Asia-American Restaurant Assn,754 Sacramento St,Yee's Restaurant,__hyW0T_P6Ajlau8xsQW9A,$,3.5,313,Barbeque,FALSE,1131 Grant Ave
American Tour Services,754 Sacramento St,Foodie Adventures,N7NEP8qnIZMR9joVlwTUvA,No record in Yelp,5,367,Food Tours,FALSE,150 Sutter St
Muffins Muffins,123 Second St,Stagecoach Coffee,H_bnqtgoNy_UPqheRdJDvQ,$,4,59,Coffee & Tea,FALSE,90 State St
Hot Dog Bills #1,599 Skyline Blvd,Hall Of Flame Burgers,S0OVpWde3SlzzrygVQXdoQ,$$,4,532,Burgers,FALSE,73 Cambon Dr
Ming's Fong Lam Restaurant,2878 24th St,Dumpling Time,VPXezwmTETrwitrzj9BZPA,$$,4,1765,Dim Sum,FALSE,11 Division St
Golden Island Cafe,1300 Noriega St,Golden Island Cafe,RmSm5ps0zgYer9xxApBVrQ,$,3.5,841,Desserts,FALSE,1300 Noriega St
Cento 330 Ritch Street,372 Ritch St,Little Skillet,SdI0uCelI4ihCwGyMLv03A,$$,3.5,1987,Soul Food,FALSE,360 Ritch St
Wok Shop Cafe,1307 Sutter St,Wok Shop Cafe,KIK0Frk34Bi99FbNxQNMmQ,$,4,594,Chinese,FALSE,1307 Sutter St
Lawrence Bakery Cafe,2290 Mission St,Lawrence Bakery Cafe,LQ_Wx3meZKdG086NsK_bRA,$,4.5,9,Bakeries,TRUE,2290 Mission St
Vikings Giant Submarines,1300 Ocean Ave,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
India Clay Oven Restaurant/bar,2436 Clement St,India Clay Oven,800bnSbI4mdJsix1Ulp08g,$$,3.5,690,Indian,FALSE,2436 Clement St
Clement Street Bar & Grill,708 Clement St,Heritage Restaurant & Bar,J9UxQxX91mgYF7c2HqRAsA,$$,4,192,American (New),FALSE,708 Clement St
L'osteria Del Forno,519 Columbus Ave,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Volume Services Inc,1 Sbc Park,Breathable Inc.,oEMFHlW8C2ogdBOh2ztd2A,No record in Yelp,5,389,Air Duct Cleaning,FALSE,"San Francisco, CA 94102"
Volume Services America,1 Monster Park,TheTvHangman,AUmnqUj4F2hgJFKaJbT32w,No record in Yelp,5,90,Home Theatre Installation,FALSE,"Riverside, CA 92506"
Centerplate,600 Jamestown Ave,Centerplate Concession Stand,6_RsovRIWPH3kXoPkgZQ5A,No record in Yelp,1,1,Restaurants,TRUE,49ERS Stadium
Centerplate,865 Market St C-251,Centerplate Concession Stand,6_RsovRIWPH3kXoPkgZQ5A,No record in Yelp,1,1,Restaurants,TRUE,49ERS Stadium
Jardiniere Restaurant,300 Grove St,Jardiniere,inVsc1turxk_OpM9E2Q1Rw,$$$$,4,1652,French,TRUE,300 Grove St
Brannan St Cafe,274 Brannan St,Crossroads Cafe,t_89aTecX2_eFBUto_dCPw,$,4,981,Coffee & Tea,FALSE,699 Delancey St
Coffee Cabin,899 Hyde St,Crostini & Java,SZs2L7N1tNSsFEdbdEvcdw,$$,5,147,Coffee & Tea,FALSE,899 Hyde St
Good Luck Market & Deli,621 Kearny St,Molinari Delicatessen,FmGF1B-Rpsjq1f5b56qMwg,$$,4.5,1102,Delis,FALSE,373 Columbus Ave
Chakratron,63 Palm Ave 4,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
House Of Chen,335 Noe St,MaMa Ji's,agq8VUqVQ_Y3dZh6-IjeIg,$$,4,740,Dim Sum,FALSE,4416 18th St
The Cake House,5169 Mission St,The Cake House,kDsLT0xa35As5e3H9KyZ5w,$$,4.5,19,Custom Cakes,TRUE,5169 Mission St
El Beach Burrito,3914 Judah St,El Beach Burrito,DDHAkjcXk7sl-Rda9u8XDA,$,2.5,267,Mexican,TRUE,3914 Judah St
New Moon Restaurant,1247 Stockton St,New Moon,22hz8_Oby4n38vJ4h8ENBA,$,3.5,47,Dim Sum,FALSE,1247 Stockton St
E & O Trading Company,314 Sutter St,E&O Kitchen and Bar,if7l8HVMz7kmW0tG9l2LQA,$$,4,1043,Asian Fusion,FALSE,314 Sutter St
E & O Asian Kitchen,314 Sutter St,E&O Kitchen and Bar,if7l8HVMz7kmW0tG9l2LQA,$$,4,1043,Asian Fusion,FALSE,314 Sutter St
Hoy Sun Restaurant,2520 San Bruno Ave,Dim Sum Kitchen,6HvY8EnovnQEsEWNEE9UBw,$$,3,41,Dim Sum,FALSE,2520 San Bruno Ave
Sushi Zone And Deli,1815 Market St 5,Sushi Zone,M175LTlKPJjAWREIUPyMGg,$$,4,1037,Sushi Bars,FALSE,1815 Market St
Lefty O'doul's,333 Geary St,Lefty O'Doul's,JZVgYUVoltWoMrcKsu9sRg,$$,3,169,Buffets,FALSE,145 Jefferson St
Johns Catering,30 Pueblo St,John's Catering,RWyfOuXzUavQfJpjC4TEEw,$,5,1,Food Stands,TRUE,2238 Geary Blvd
Original Mccarthys,2327 Mission St,Cha Cha Cha,QH8WwAYdr3NrH2QwHiPjog,$$,3.5,1948,Bars,FALSE,2327 Mission St
2191 Mission St Apts,2191 Mission St,Mission Bay by Windsor,NHscZlpFHSoZ8zeUWyTh-w,No record in Yelp,4.5,28,Apartments,FALSE,360 Berry St
Park Chow,1240 9th Ave,Nopalito,bBa6-Hhe56m1RH-12IOXMw,$$,4,1315,Mexican,FALSE,1224 9th Ave
Zodiac Club,718 14th St,Longbranch,oG6ZjZFGHBoDe2srn_tqiQ,$$,4,397,American (New),FALSE,2512 San Pablo Ave
The Residence,718 14th St,The Residents,iMBlCjAAoCX3wNNd1ss7pg,No record in Yelp,5,1,Interior Design,FALSE,595 Pacific Ave
Crepe Express,1476 Haight St,Crepes On Cole,UyA7m3aI7SB0hWdMzlwGWQ,$$,3.5,681,Creperies,FALSE,100 Carl St
Pad Thai Restaurant,3259 Mission St,Pad Thai Cuisine,p2AAHaoCDnGhsyLCG4GlBg,$$,3.5,372,Thai,FALSE,500 Lawrence Expy
Bazaar Cafe,5927 California St,Bazaar Cafe,aB_jimByFRPpde3LC13ucw,$,4,308,Coffee & Tea,FALSE,5927 California St
Forbes Island Corp,Pier 39,Forbes Mill Steakhouse,0RClvA7MGds6ZyuIVv1-bQ,$$$,4,1285,Steakhouses,FALSE,206 N Santa Cruz Ave
Chitterlings Express,235 Eddy St,Hard Knox Cafe,8pZevgVXucZStPwUYPfAkQ,$$,4,2143,Soul Food,FALSE,2526 3rd St
Claude Laws,235 Eddy St,Leiva Law Firm,vlwH7PaipqtiJYiatufRJw,No record in Yelp,5,108,Immigration Law,FALSE,350 Townsend St
Nan King Road Bistro,1360 9th Ave,Nan King Road Bistro,4De0iMwSPF2aJ_QGTye4TQ,$$,4,600,Chinese,TRUE,1360 9th Ave
Go Getters Pizza,69 Gough St,Baiano Pizzeria,DAiqwrmv19Uv-I1bOoAJCQ,$,4,204,Pizza,FALSE,100 Gough St
Go Getters Deli,100 Gough St,Ma’velous Coffee & Little Griddle,GNlmRz_DIkNT1PsLhR2zSw,$$,4,67,American (Traditional),FALSE,1408 Market St
Don Agapito's,100 Gough St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Tlaloc Sabor Mexicano,525 Commercial St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Mrs T's Cafe,809 Montgomery St,Marybill's Cafe & Elbow Room,Ni9MHD8SM975ZqXKd0bjhQ,$,4.5,347,American (Traditional),FALSE,801 Elm St
El Valenciano Restaurant Llc,1153 Valencia St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Alfred's Steakhouse,659 Merchant St,Alfred's Steakhouse,#NAME?,$$$,3.5,676,Steakhouses,TRUE,659 Merchant St
Sanppo Restaurant,1702 Post St,Sanppo Restaurant,wAPk6QJV6NtXxNQgSd1dkA,$$,3,374,Japanese,FALSE,1702 Post St
Hoang-Dat Coffee Shop,930 Geary St,Tu Kim Coffee Shop,3RHodpDW0vl6dEU9PuFFOQ,$,4,13,Restaurants,FALSE,609 Ellis St
Fagan Print Media,1325 Indiana St 206,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Delicious Dim Sum,752 Jackson St,Delicious Dim Sum,Fo5Wscbb9rwcLuaO-sc2zQ,$,4,947,Dim Sum,FALSE,752 Jackson St
Thai Stick,698 Post St,Thai Stick,8JRsLynNnAZ-698Z2d20UA,$$,3,615,Thai,FALSE,301 El Camino Real
2001 Thai Stick,2001 Fillmore St,Sweet Lime Thai Cuisine,Ldq4XfNsXM-ciulyDUlMmw,$$,4,473,Thai,FALSE,2100 Sutter St
Thai Stick 4.0,925 O'farrell St,Lers Ros,WFgRFq_KxIs2fkYo1iD6Tg,$$,4,2195,Thai,FALSE,730 Larkin St
All Season Sushi,524 Castro St,Wasabi Bistro,bm7sU0_SNY0k2ZX65YqTsA,$$,4,453,Sushi Bars,FALSE,524 Castro St
All Season Restaurant,91 Drumm St,Harborview Restaurant & Bar,bvdEOVmFuWUV0sAALc_-zw,No record in Yelp,4,301,Cantonese,FALSE,4 Embarcadero Ctr
All Season Restaurant,5238 Diamond Hts Blvd,Harbor Villa Restaurant,lMCEPzboR8E1Rw-v2ZjCSA,$$,3,476,Dim Sum,FALSE,5238 Diamond Heights Blvd
Broadway Dim Sum Cafe,684 Broadway St,Broadway Chinese Seafood,JAC3_9kPdF0TFVBt3gYQVA,$$,3,104,Dim Sum,FALSE,83-17 Broadway
Paragon Restaurant & Bar,701 2nd St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Inner Circle Entertnmnt Ii Inc,420 Mason St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Ruby Skye,420 Mason St,Ruby Skye,CcmzMKBB7-47kjevbnNuIA,$$$$,2.5,4,Nightlife,FALSE,464 Monterey Ave
G And R Market,2601 Sutter St,Gr Market & Deli,IzWu4dCs_cIZcqvHxGwO9A,$$,3.5,6,Grocery,FALSE,2601 Sutter St
Fly,762 Divisadero St,Fly Bar,8MMhiZdt1QD4r8os_hKEvg,$$,4,748,Bars,FALSE,762 Divisadero St
Chaya Brasserie,132 The Embarcadero,The House,ZoZjbOYR-apY8XvommlNUA,$$$,4.5,4798,Asian Fusion,FALSE,1230 Grant Ave
Hawaiian Drive Inn #28,4827 Mission St,Hawaiian Drive Inn,yEn0YT1wMC6hR7CVRX956w,$,4,360,Hawaiian,FALSE,4827 Mission St
Hanuri Korean Barbeque Restaur,4217 Geary Blvd,Muguboka Restaurant,8oAsGZNNLvIW3CvLcFUPMw,$$,4,764,Korean,FALSE,401 Balboa St
Lovejoy's Tea Room & Antiques,1351 Church St,Lovejoy's Attic,YN_Fm4paIod5jpnaAXATtQ,$$,4.5,46,Tea Rooms,FALSE,1351 Church St
Lovejoy's Attic,1350 Church St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Hahn's Hibachi Restaurant,1305 Castro St,Hahn's Hibachi,ocWOWedEZg4k8ffZzGDIEA,$$,4,205,Korean,FALSE,535 Irving St
Paradise Pizza Llc,393 West Portal Ave,Mountain Mike's Pizza,dDTVssWUNsBSFxZP3ZFkng,$$,3,121,Pizza,FALSE,2100 4th Street
Tiki Go Go,3235 3rd St,Tiki Go Go Personal Chef Service,aosUt4l6IfIUtMH5reSY1Q,No record in Yelp,4,3,Personal Chefs,FALSE,"San Francisco, CA 94124"
Wali Bakery & Cafe Inc,1249 Stockton St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Zapata Mexican Grill,4150 18th St,Padrecito,2nXYpojLdnIWkFW-Xe7B2A,$$,4,910,Mexican,FALSE,901 Cole St
