,DBA Name,Street Address,Yelp_Name,Yelp ID,Price Level,Rating,Review Count,Categories,Is Closed,Yelp_Address
210,Les Croissant,2 California St,Les Croissants,b1jiTGSvQcVWULo30j9SNg,$,3.5,288,Coffee & Tea,TRUE,2 California St
211,Les Croissants Cafe,1840 Geary Blvd,Les Croissants Cafe,8_v6827KBE-fWDDvAFJ_wg,$,3.5,41,Coffee & Tea,FALSE,1840 Geary Blvd
212,Jitra Thai Cuisine,2545 Ocean Ave,Ocean Thai,OC_Z6gunpUXuak8ruZsjVg,$$,4,120,Thai,FALSE,2545 Ocean Ave
222,Little Paris Coffee Shop,1131 Stockton St,Little Paris,Gzu4KCCoSf0Jqox5km6fyA,$,3,95,Vietnamese,FALSE,1131 Stockton St
223,Pizzeria Avellino,2769 Lombard St,Pizzeria Avellino,YGdCt1nVHcQCCDVCCRmS6A,$,3.5,335,Pizza,FALSE,2769 Lombard St
226,Blossom Bakery,133 Waverly Pl,Blossom Bakery,iPiJ3g8WsbZYL2V9MQf5Hw,$,4,27,Coffee & Tea,FALSE,133 Waverly Pl
227,Lemongrass,2348 Polk St,Lemon Grass Thai Cuisine,N3N7-DCGQUPBe9v-duuWHQ,$$,3.5,558,Thai,FALSE,2348 Polk St
228,Lemongrass Thai Cuisine,2348 Polk St,Lemon Grass Thai Cuisine,N3N7-DCGQUPBe9v-duuWHQ,$$,3.5,558,Thai,FALSE,2348 Polk St
240,Valley Tavern,4054 24th St,Valley Tavern,onkU0XY2m1i7LCR5O1g8VQ,$$,4,305,Pubs,FALSE,4054 24th St
244,Hergl School,1570 Greenwich St,Hergl School,foZhPlnywtUued2niihoyg,No record in Yelp,5,1,No record in Yelp,FALSE,1570 Greenwich St
247,Big Joe's,717 Monterey Blvd,Big Joe's,OdO-B4spWQQMgu58-WbozA,$$,4,498,Breakfast & Brunch,FALSE,717 Monterey Blvd
248,Oye Managua,3385 Mission St,Oye Managua,s4GvKQzi6eHEr-2F5z8o_A,$$,3.5,268,Latin American,FALSE,3385 Mission St
253,Nectar Wine Lounge,3330 Steiner St,Nectar Wine Lounge,wr8AESmBkc7-nuQbg191QA,$$,4,478,Wine Bars,TRUE,3330 Steiner St
257,Youngs Restaurant,601 Kearny St,Young's Cafe,lbhoHNWZVSQxPqkA2AgknQ,$,3.5,108,Chinese,TRUE,601 Kearny St
260,Boos Voni,5170 Mission St,Tortas Boos Voni,22v8sohi8qcFTXxbvag3Zg,$,4,148,Mexican,FALSE,5170 Mission St
262,The Sausage Factory,517 Castro St,The Sausage Factory,9i5LZqFVbTRq215ypJYzYQ,$$,3.5,576,Italian,FALSE,517 Castro St
265,Bacchus Kirk,925 Bush St,Bacchus Kirk,HshqZ9tsDjFUPBmRCJmjjQ,$$,4,235,Dive Bars,TRUE,925 Bush St
268,Maxfield's House Of Caffeine,398 Dolores St,Maxfield's House of Caffeine,pq3l9iZBT1P_fv4H4S01wg,$,3,275,Coffee & Tea,FALSE,398 Dolores St
271,Bello Coffee & Tea,2885 Diamond St,Bello Coffee & Tea,Evr0y8fwFEOqXBf7cNW8zg,$,4,357,Coffee & Tea,FALSE,2885 Diamond St
289,Koo,408 Irving St,Koo,4GAsfSjaB1XewzS3TKOtTg,$$$,4,1100,Japanese,FALSE,408 Irving St
300,Jenny & Jesse Restaurante,3322 Mission St,El Paisa Restaurante-Jenny & Jesse,HGANiSkXUTEEX50Xhtz_5Q,$$,4,68,Latin American,FALSE,3322 Mission St
301,El Paisa Restaurant,3322 Mission St,El Paisa Restaurante-Jenny & Jesse,HGANiSkXUTEEX50Xhtz_5Q,$$,4,68,Latin American,FALSE,3322 Mission St
302,Brickhouse Cafe,426 Brannan St,Brickhouse Cafe,HCTOtXfbGDTcYsnE_gl35Q,$$,3.5,1162,American (Traditional),FALSE,426 Brannan St
303,Asa Sushi,2365 Chestnut St,Wago sushi,3Reec-_JZaemqsI0MlW_SQ,$$,4,77,Sushi Bars,FALSE,2365 Chestnut St
314,Creative Sushi Catering,800 Van Ness Ave,Creative Sushi Catering,57MTH5bcQWs0uKtb8pgIyg,$$,4.5,27,Caterers,FALSE,800 Van Ness Ave
324,Haight & Cole Liquors,1699 Haight St,Haight & Cole Liquors,zAX8hd4IUt6T2DHb08YAtA,$,4.5,13,"Beer, Wine & Spirits",FALSE,1699 Haight St
329,Nara Sushi,1515 Polk St,Nara,YZrl7W2dewBb-T7e-BxAkQ,$$,4.5,221,Japanese,FALSE,1515 Polk St
330,Garcon,1101 Valencia St,Garçon,f7GbmIcePXbV7ZtQv4_JNg,$$$,3.5,804,French,TRUE,1101 Valencia St
336,Sidewalk Juice Bar,3287 21st St,Sidewalk Juice,qSDs73iJwu365YirqVFx_g,$,4,312,Juice Bars & Smoothies,FALSE,3287 21st St
338,Thai Cafe,3407 Geary Blvd,Thai Cafe,FgW-khP50md23vH37MUiwQ,$$,4,232,Thai,FALSE,3407 Geary Blvd
340,The Elite Cafe,2049 Fillmore St,The Elite Cafe,NhvqEIpcLbwFhW1cEVSzoA,$$,3.5,1247,Cajun/Creole,TRUE,2049 Fillmore St
345,Zen Yai Thai Restaurant,771 Ellis St,Zen Yai Thai Restaurant,xaYfmUNTchH56sdxjHulfg,$,4,694,Thai,FALSE,771 Ellis St
359,Memphis Minnie's Bbq Joint,576 Haight St,Memphis Minnie's,VlNE3m59v836-t3V4ZaOWQ,$$,3.5,1574,Barbeque,FALSE,576 Haight St
360,Morty's Delicatessen,280 Golden Gate Ave,Morty's Delicatessen,KRO4PzfmbRgCu1Ayt1LE1g,$,4,519,Sandwiches,FALSE,280 Golden Gate Ave
361,Alembic,1725 Haight St,The Alembic,f8fYPWuRB4o225YjPEjq8w,$$,4,1674,Bars,FALSE,1725 Haight St
362,Alembic Bar,1725 Haight St,The Alembic,f8fYPWuRB4o225YjPEjq8w,$$,4,1674,Bars,FALSE,1725 Haight St
363,The Alembic,1725 Haight St,The Alembic,f8fYPWuRB4o225YjPEjq8w,$$,4,1674,Bars,FALSE,1725 Haight St
369,Genki Ramen,3944 Geary Blvd,Genki Ramen,Ml0zISgWDnt1hDWorSMNiw,$$,3.5,1429,Tapas/Small Plates,TRUE,3944 Geary Blvd
374,Zaytoon,1136 Valencia St,Zaytoon Mediterranean,L6B2t1t2PifwYppaty17Ag,$,4,282,Middle Eastern,TRUE,1136 Valencia St
385,Pissed Off Petes,4528 Mission St,Recovery Room,QKxnAWCaExqaVjKK6_N_wQ,$,4.5,33,Sports Bars,FALSE,4528 Mission St
386,Nickies,466 Haight St,Nickies,yyqwqfgn1ZmbQYNbl7s5sQ,$$,4,421,Sports Bars,FALSE,466 Haight St
388,Chopstick Fast Food,4615 Mission St,Chopsticks,VaPMLf7sK-GScihdMpJf2Q,$,4,95,Chinese,FALSE,4615 Mission St
393,Chatz Coffee Shop,215 2nd St,Chatz Coffee Shop,Uv0rM1mX1bgTx9iKNvM-cw,$,3.5,20,Coffee & Tea,FALSE,215 2nd St
394,The Bagel Bakery,151 Townsend St,The Bagel Bakery,T61CGyosLTxO-2GPos3Rfw,$,4,242,Bagels,FALSE,151 Townsend St
409,Davies Symphony,201 Van Ness Ave,Davies Symphony Hall,MfOV7Fmr_lZC52Yqdz-Uzg,$$$,4.5,282,Performing Arts,FALSE,201 Van Ness Ave
412,San Francisco Opera House,301 Van Ness Ave,War Memorial Opera House,3agM1vO2G4mjDixpFbNdCw,No record in Yelp,4,179,Performing Arts,FALSE,301 Van Ness Ave
413,Davies Symphony - Lodge Level,201 Van Ness Ave,Davies Symphony Hall,MfOV7Fmr_lZC52Yqdz-Uzg,$$$,4.5,282,Performing Arts,FALSE,201 Van Ness Ave
415,Herbst Theater,401 Van Ness Ave,Herbst Theatre,LuZPMcW25kLB4QnxSQ-IjQ,No record in Yelp,4,97,Performing Arts,FALSE,401 Van Ness Ave
420,Wins Restaurant,3040 Taraval St,Win's Restaurant,hbDkXsC4_ZOt5h04hmPReQ,$,3.5,213,Chinese,FALSE,3040 Taraval St
422,Slow Club,2501 Mariposa St,The Morris,KqGOvG1m5jgDL-pKGXEoNQ,$$$,4.5,239,American (New),FALSE,2501 Mariposa St
423,Serpentine,2495 3rd St,Serpentine,68-n3xi30GwhEvkElVNgiw,$$,4,1517,American (New),FALSE,2495 3rd St
428,Green Bamboo,1240 Noriega St,Green Bamboo,nNxgfhRT54L8q1rboUav8A,$,3,175,Asian Fusion,FALSE,1240 Noriega St
443,Ha Nam Ninh Restaurant,701 Larkin St,Ha Nam Ninh,C1ZDg6SgsPlOdHQr77Z3QA,$,3.5,301,Vietnamese,FALSE,701 Larkin St
463,Velo Rouge Cafe,798 Arguello Blvd,The Velo Rouge Cafe,HjKRwtL3gZ2RL3KQULXKsA,$,4,718,Breakfast & Brunch,FALSE,798 Arguello Blvd
464,Nook,1500 Hyde St,Nook,Y-9BkxtSP_X1PzzWMSgcKQ,$$,4,702,Coffee & Tea,FALSE,1500 Hyde St
479,Internos Wine Cafe,3240 Geary Blvd,Internos Wine Cafe,KDv9J2sRmDs2vxSp2FokxQ,$$,4,236,Wine Bars,FALSE,3240 Geary Blvd
484,Gallardos Mexican Restaurant,3248 18th St,Gallardos Mexican Restaurant,a5m_BP44_9mtD0QEfeuKeA,$$,4,451,Mexican,FALSE,3248 18th St
485,There Sushi-Bar & Restaurant,393 Bay St,There Sushi Bar & Restaurant,pqL4VB0fIaPMb8XS95Fe3Q,$$,3.5,78,Sushi Bars,TRUE,393 Bay St
497,Mokis Sushi And Pacific Grill,615 Cortland Ave,Moki's Sushi & Pacific Grill,9gW2kzWOU98qm6xyar-fhA,$$,4,463,Sushi Bars,FALSE,615 Cortland Ave
531,Jade Garden,3608 Balboa St,Jade Garden,HhpDobLZa5tHT03n3r9BGA,$,3.5,96,Chinese,TRUE,3608 Balboa St
540,Tin Vietnamese Cuisine,937 Howard St,Tín Vietnamese Cuisine,p1oiqn-SkMrQG0lT3V6jIA,$$,4,1255,Vietnamese,FALSE,937 Howard St
552,Schilling & Co,667 Commercial St,Schilling & Co,QJ5DytH3iktmwMzMT7DjOQ,$,3.5,58,American (New),FALSE,667 Commercial St
557,Isa Restaurant,3324 Steiner St,Isa Restaurant,QINiEjMRGA7pKfvhPQtfBg,$$$,4,2034,French,FALSE,3324 Steiner St
578,California Produce,986 Polk St,California Produce,W0yaC82NMAoDIzlhFduYeA,$,4.5,39,Fruits & Veggies,FALSE,986 Polk St
586,Blue Fog Market,2567 Gough St,Blue Fog Market,qaesqmgpYV9KCxWw_VVkCw,$$,3.5,341,Delis,FALSE,2567 Gough St
598,Togo's,570 Battery St,Togo’s Sandwiches,PLSCAAIX3TQaFkVysCBiLw,$,3.5,70,Sandwiches,TRUE,570 Battery St
609,Cholo Soy,2301 Mission St,Cholo Soy,3h8u-SHi52QnOs-Xhm2bCQ,$,4.5,150,Peruvian,TRUE,2301 Mission St
612,Pizzeria Sophia,1934 Ocean Ave,Sophia's Pizzeria,MtO6rzRlT_kJ9_haVlwbPQ,$$,3.5,176,Pizza,TRUE,1934 Ocean Ave
616,Hon's Wun Tun House,648 Kearny St,Hon's Wun-Tun House,14tNG31ieuMBtx43oDNjjA,$,3.5,547,Cantonese,FALSE,648 Kearny St
617,Shanghai Dumpling King,3319 Balboa St,Shanghai Dumpling King,WLVcFNJnnkfig_ASwwt86g,$,3.5,2258,Shanghainese,TRUE,3319 Balboa St
620,Taraval Pizza,1115 Taraval St,Taraval Pizza,kTbI2NtsXwtaPlg-wN-jqA,$,3,221,Pizza,TRUE,1115 Taraval St
621,Lovessy,832 Clement St,Lovessy Asian Fusion & Souffles Bistro,ztfYS1YTYcsgB4mIwdS-Eg,$$,3.5,121,French,FALSE,832 Clement St
623,Red's Java House,Pier 30,Red's Java House,mSHo2HITqIQge6ADNI0lcw,$,3.5,798,Breakfast & Brunch,FALSE,Pier 30
625,37 Degree Dessert Cafe,1155 Taraval St,One Boiling Pot Mixian Noodles,s86RCsfbIYSR7yvHfrBUvg,$$,3,111,Hot Pot,FALSE,1155 Taraval St
626,House Of Banquet,939 Clement St,Paramount Superstars,D3-azpiTACl61L8QqRETkw,No record in Yelp,3,46,Dim Sum,FALSE,939 Clement St
629,Wing Wings,422 Haight St,Wing Wings,CMtyvEPu1PAlnXxebsc40g,$$,3.5,514,Chicken Wings,FALSE,422 Haight St
636,Papito,317 Connecticut St,Papito Potrero Hill,aaDHYyIJGa5EFrFT2WAf7Q,$$,4,683,Mexican,FALSE,317 Connecticut St
637,Cafe Pescatore,2455 Mason St,Pescatore,jdKWSulGisIZ6zaXrAprvQ,$$,3.5,370,Italian,FALSE,2455 Mason St
638,Pescatore Restaurant,2455 Mason St,Pescatore,jdKWSulGisIZ6zaXrAprvQ,$$,3.5,370,Italian,FALSE,2455 Mason St
639,Pescatore,2455 Mason St,Pescatore,jdKWSulGisIZ6zaXrAprvQ,$$,3.5,370,Italian,FALSE,2455 Mason St
644,Atelier Crenn,3127 Fillmore St,Atelier Crenn,c3khi7kxBaA2ATUuMjtMZA,$$$$,4.5,717,French,FALSE,3127 Fillmore St
655,Luv A Java,1300 Dolores St,Luv A Java - Closed,wgdJ1NWc1553egLmy5_EUg,$,4,133,Coffee & Tea,TRUE,1300 Dolores St
665,Han's Coffee Shop,900 Sutter St,Han's Coffee Shop,g_1m6w0hdDHoWXdj5snXSQ,$,4,339,Coffee & Tea,FALSE,900 Sutter St
669,Irving Pizza,928 Geary St,Irving Pizza,qBpdp2DI-CKTgaxpEJpvvQ,$,3.5,224,Pizza,FALSE,928 Geary St
671,Cafe Savor,3913 24th St,Savor Open Kitchen,oUQQwcwKfcdj0Xn-TpatYw,$$,3.5,872,Creperies,FALSE,3913 24th St
680,Sweet Basil,3221 Mission St,Sweet Basil Thai Cuisine,hi0wjWbDyRWus_lDJthWLg,$$,3.5,348,Thai,FALSE,3221 Mission St
681,Beachside Coffee Bar & Kitchen,4300 Judah St,Beachside Coffee Bar & Kitchen,fyeTybE7wDkieUwq4urOCA,$$,4,828,Breakfast & Brunch,FALSE,4300 Judah St
689,Sushi Shoh,406 Dewey Blvd,Yoji Sushi House,3cLA9tLm7zCfEpeRTAeVmw,$$,4,252,Sushi Bars,FALSE,406 Dewey Blvd
693,Joey And Pat's Bakery & Coffee,2499 Folsom St,Joey & Pat's Italian Bakery & Cafe,ZATgEABxp-snfhtiYpDM4A,$,3.5,73,Bakeries,FALSE,2499 Folsom St
702,Just Eat It,223 Guerrero St,Just Eat It!,4l73obMk06XqJuDmxrjlUQ,No record in Yelp,5,4,Caterers,FALSE,223 Guerrero St
704,Pa'ina Lounge & Restaurant,1865 Post St,Pa'ina Lounge & Restaurant,_zfxJqH3XZ65X8sNYVKGqg,$$,4,584,Hawaiian,FALSE,1865 Post St
705,Dobbs Ferry Restaurant,409 Gough St,Dobbs Ferry Restaurant,YCRkBdOsc290blM8TXwS3A,$$,4,591,American (Traditional),FALSE,409 Gough St
713,Tataki Canyon,678 Chenery St,Tekka House,HjULz9of4NBdeYk4RhSTmQ,$$,3.5,89,Sushi Bars,FALSE,678 Chenery St
716,Bay Subs & Deli,2486 Sacramento St,Bay Subs & Deli,Nty8mxwmbRviQmWUKedhfg,$,4.5,147,Sandwiches,FALSE,2486 Sacramento St
717,Hot Cookie,407 Castro St,Hot Cookie,qZFRnzb-VTfkMC2vDoWJVA,$,4,1458,Bakeries,FALSE,407 Castro St
719,Motze,983 Valencia St,Motze,1Le-x92xt7AIBvN1ZzQ3xQ,$$$,3.5,43,American (New),TRUE,983 Valencia St
721,April Nine Thai Kitchen,701 Randolph St,Wow Thai Kitchen,CL9NbhM2tYC8nRwxvR9Yvw,$$,3.5,68,Thai,FALSE,701 Randolph St
722,Chisme,882 Sutter St,Chisme Cantina,7X76HyhNAUTcYuY6t6ionQ,$$,4.5,400,Tacos,FALSE,882 Sutter St
729,903,903 Cortland Ave,Nute's,xfsjCQtkPFdbWTwh9C2p9w,$$,4,198,Thai,FALSE,903 Cortland Ave
731,Pho Nice,880 Geneva Ave,Pho Nice Vietnamese Restaurant,Mgk1j_eDT06emCLlgMJrlg,$,3,119,Vietnamese,TRUE,880 Geneva Ave
732,The Roastery,199 New Montgomery St,The Roastery,GvXKhWzRoWLo1lTzkCxzeA,$,3,160,Coffee Roasteries,TRUE,199 New Montgomery St
737,Bullitt,2209 Polk St,Bullitt,oUPGpWQEQzAgFjatpLzjQg,$$,3.5,505,Bars,TRUE,2209 Polk St
744,Sauce Belden,56 Belden Pl,Sauce - Belden,jzo4h7-wAXQfoZwYT-Rzag,$$,4,623,Bars,TRUE,56 Belden Pl
745,Sauce,56 Belden Pl,Sauce - Belden,jzo4h7-wAXQfoZwYT-Rzag,$$,4,623,Bars,TRUE,56 Belden Pl
751,Karachi Classics,533 Jones St,Halal Wings Plus,vVZRmqx4IYijzva5K_1sGg,$$,4,441,Burgers,FALSE,533 Jones St
752,New Dna Cafe,407 Clement St,D & A Cafe,v8yKr4d-QiuyrMbpPFLJJA,$,3,635,Cantonese,FALSE,407 Clement St
764,Olea Restaurant,1494 California St,Olea,14OmmSWHfM717iZo5jePtg,$$,4,919,American (New),FALSE,1494 California St
770,L'ottavo Ristorante,692 Sutter St,L'Ottavo Ristorante,Z2VIno37S9MFY2FKh7yW-A,$$,3.5,245,Italian,FALSE,692 Sutter St
778,Beijing Restaurants,1801 Alemany Blvd,Beijing Restaurant,8sTqr9ehaZuqORQCddYeUg,$$,3.5,482,Chinese,FALSE,1801 Alemany Blvd
793,Wasabi Bistro Japanese Restaur,524 Castro St,Wasabi Bistro,bm7sU0_SNY0k2ZX65YqTsA,$$,4,453,Sushi Bars,FALSE,524 Castro St
799,Thomas John Events,1501 Cortland Ave,Culinary Eye,xsTnLawBAxDIO_-KofiJmg,No record in Yelp,5,70,Caterers,FALSE,1501 Cortland Ave
809,Cheung Yuen Dim Sum,648 Pacific Ave,Cheung Yuen Dim Sum,JsN_p9GAZoYyft8zV7o1zw,$,2.5,10,Dim Sum,FALSE,648 Pacific Ave
816,Brenda's Original Po Boys,652 Polk St,Brenda's French Soul Food,lJAGnYzku5zSaLnQ_T6_GQ,$$,4,10907,Breakfast & Brunch,FALSE,652 Polk St
845,Donuts & Things,1549 Polk St,Donuts & Things,v75Dk_WdkgA5VoBbFRcqPA,$,4.5,100,Donuts,FALSE,1549 Polk St
853,Crepe & Curry,5 Embarcadero Ctr,Crepe & Curry,KtXm2WllfK4NZb5-MjDBig,$,3,221,Creperies,FALSE,5 Embarcadero Ctr
855,Hong Kong Lounge,5322 Geary Blvd,Hong Kong Lounge,VYd8UzwlwmX8Db5umNHNig,$$,3.5,1615,Dim Sum,FALSE,5322 Geary Blvd
858,The Sandwich Spot Sf,3213 Pierce St,The Sandwich Spot,Uq0qPR7dxtTYcpqR8G-nog,$$,4,649,Sandwiches,FALSE,3213 Pierce St
864,Zoe's,3088 24th St,Zoe's,v9rG9W4lb8BhHFe8OMP2fw,$$,4,209,Bars,TRUE,3088 24th St
866,Lime Tree,836 Clement St,Lime Tree Southeast Asian Kitchen,jRfeqEGCdAf8p5deEUbmXw,$$,4,320,Malaysian,FALSE,836 Clement St
868,Cafe Med,201 Pine St,Cafe Med,_le519RYA8LPCreBeFunoQ,$,4,124,Cafes,FALSE,201 Pine St
870,Moxies,2501 Phelps St,Moxies Catering,ipPbv1YExXNHsh4GwH7yrA,No record in Yelp,5,3,Caterers,FALSE,2501 Phelps St
876,Redford,673 Geary St,Redford,_LSlZaEHK8Y0Qfovd9iPlQ,$$,4,446,American (Traditional),FALSE,673 Geary St
878,Coco's,3319 Mission St,Coco's Ramen,TqGrcmC96h-xLpDfW99BAA,$$,4,492,Ramen,FALSE,3319 Mission St
888,Glaze Teriyaki,1946 Fillmore St,Glaze Teriyaki,rf39v0UmaNk1SZZ9HuZ3hA,$$,4,458,Japanese,FALSE,1946 Fillmore St
890,Smile House Cafe,1030 Taraval St,Smile House Cafe,8Ia2IDknIA3btJ0bTj751w,$$,3,691,Chinese,FALSE,1030 Taraval St
900,Spicy Garden Restaurant,996 Mission St,Spicy Garden,zHXAYvB7IjLZWIioediMgA,$$,3.5,123,Szechuan,TRUE,996 Mission St
901,Custom Auto,251 Capp St,Custom Auto,qjkaHNcEKKgmmaniJBVSvg,No record in Yelp,5,1,Body Shops,FALSE,251 Capp St
