DBA Name,Street Address,Yelp Name,Yelp ID,Price Level,Rating,Review Count,Categories,Is Closed,Yelp Address
Kenko Cater,1740 Church St,Oceanic Foot Spa,ug40QN01xRgT8YrkbaFalg,$,4.0,546,Massage,False,939H Edgewater Blvd
T & T Cafe,601 Broadway St,T & T Galley,V7cskIbiXVC_7Uqx1YeA7w,$,4.0,73,Breakfast & Brunch,True,901 Southview Blvd
Ichiraku Ramen,5336 Geary Blvd,Ichiraku Ramen,8jzDfZi2bCtXlQ9PVYh3wA,$$,4.0,227,Ramen,False,5336 Geary Blvd
Hart,925 Ofarrell St,"The Harte of Chiropractic, PC",lvY9X-0dk5uJOoUUnOVHqA,No record in Yelp,3.5,22,Chiropractors,False,21 Tamal Vista Blvd
Imagine Culinary Group,185 Berry St,Jordan's Kitchen,zWSf5FEWPQKhTI9d40-uMA,No record in Yelp,5.0,254,Cooking Schools,False,413 10th St
Loving Cup,608 Divisadero St,Loving Cup,_oQlxPvf4tDtTM-FwPmpuw,$$,3.5,49,Ice Cream & Frozen Yogurt,False,608 Divisadero St
Amara,5800 Geary Blvd,"Amara Malik, MD",vTyrAqHNGmTnjdzwE2alAg,No record in Yelp,4.5,10,Oncologist,False,"San Francisco, CA 94118"
Yo Tambien Cantina,205 Hugo St,Yo También Cantina,6Yoh6t8_nmpJqwmNDENP6w,$$,4.5,51,Cafes,False,205 Hugo St
The Fruit Tree,2241 Geary Blvd,The Fruit Tree,M9P1XijW6T2RAvhpOmT40g,No record in Yelp,5.0,1,Juice Bars & Smoothies,False,50 Post St
"Obour Foods, Llc",3251 20th Ave,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Hart,925 Ofarrell St,"The Harte of Chiropractic, PC",lvY9X-0dk5uJOoUUnOVHqA,No record in Yelp,3.5,22,Chiropractors,False,21 Tamal Vista Blvd
Kim Mitchell Cuisine,1761 Golden Gate Ave Apt 5,B Star Bar,6bc2FmFGzrcEvXcS2cOeeA,$$,4.0,1867,Burmese,False,127 Clement St
Fasty Fresh Inc Dba Firepie,3498 Cesar Chavez St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Treasure Chest Distributing,1226 Folsom St,826 Valencia Pirate Supply Store,DH4kVFJw8c8KAGfvIEa-Iw,$$,5.0,304,Toy Stores,False,826 Valencia St
Bi-Rite Management Services Llc,3505 20th St,Left Coast Catering,hgBlKqq77oH9mJ_DD70X5w,No record in Yelp,5.0,58,Caterers,False,1400 Yosemite Ave
Eggxotic Inc,3251 20th Ave Ste 156,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Biteunite Of Usa Llc,600 S Van Ness Ave  2,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Venus Cafe,700 Clement St,Venus Cafe,3jXC8RbeYZ4X5c7g5lMdaA,$$,3.0,114,Hong Kong Style Cafe,False,700 Clement St
Sweet Castro,451 Castro St,U :Dessert Story,aVskw5NKrs7ibAQ54E_bZw,$$,4.5,1276,Desserts,False,3489 16th St
Postmates Inc,425 Market St Fl 8,Cardinal Sushi,4g5r0eD8yqrdoN_dVh6uEg,$$,3.0,173,Sushi Bars,False,2051 El Camino Real
Taco El Ojo De Agua #2,300 5th St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
New Fortune Restaurant,811 Stockton St,New Fortune Restaurant,qsJYVZCxZNWMjMyMlsGl5A,$,4.5,82,Chinese,False,815 Stockton St
Taco El Ojo De Agua #2,300 5th St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Tia Ampa Bakery,81 Frank Norris St Apt 706,Tia Ampa Bakery,6mGcZ2MCxVe6Ploko0jfTw,$$,5.0,3,Desserts,False,2031 1/2 Powell St
Irving Pizza,928 Geary St,Irving Pizza,qBpdp2DI-CKTgaxpEJpvvQ,$,3.5,224,Pizza,False,928 Geary St
Al Pastor Papi,246 Rome St,Mi Pueblito,FnRDmXgQ291zkRb63Rjb9w,$$,4.0,210,Mexican,False,412 Kearny Ave
Oye Managua,3385 Mission St,Oye Managua,s4GvKQzi6eHEr-2F5z8o_A,$$,3.5,268,Latin American,False,3385 Mission St
Peet's Coffee & Tea,692 Mission St,Peet's Coffee,3Vp1tYOegGTeuFbhZGKAGA,$,4.0,191,Coffee & Tea,False,692 Mission St
409 Bryant St,409 Bryant St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
50 Fremont St,50 Fremont St,50 Fremont St Plaza,smXlQ_OyeO7dlcGi-13l6w,No record in Yelp,4.0,1,Parks,False,14 Fremont St
Ruru Kitchen,350 Rode Island  Ste 240,Ruru Kitchen,vjg1MuNYIPplmvVHfelIjQ,$$,3.5,55,Juice Bars & Smoothies,False,532 Market St
Ruru Kitchen,350 Rhode Island St Ste 240,Ruru Kitchen,vjg1MuNYIPplmvVHfelIjQ,$$,3.5,55,Juice Bars & Smoothies,False,532 Market St
Royal Exchange Rest Co The / Taco Taco,301 Sacramento St,Chisme Cantina,7X76HyhNAUTcYuY6t6ionQ,$$,4.5,401,Tacos,False,882 Sutter St
Amara,5800 Geary St,"Amara Malik, MD",vTyrAqHNGmTnjdzwE2alAg,No record in Yelp,4.5,10,Oncologist,False,"San Francisco, CA 94118"
Crave Subs,1650 Holloway Ave Sb108,Crave Halal Subs,kN0zGIdrFqLEvpE72iNTZQ,No record in Yelp,4.5,17,Sandwiches,False,1650 Holloway Ave
Hidden Star Orchards@mission Community Market,84 Bartlett,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Dijon Burger,1428 Polk St,Dijon Burger,f074dJ1sDl22dNYQn0SeDg,$$,3.5,203,Burgers,False,1428 Polk St
Stone Korean Kitchen,4 Embarcadero Center  Street Revel Ctr,Stone Korean Kitchen,Z5Oa8wKjGPPc2XWzV4ShVA,$$,3.0,799,Korean,False,4 Embarcadero Ctr
Pizza Flirt,464 Broadway St,Max London's Restaurant,duidKx90m6NLKqnC9FipuA,$$,4.0,410,American (New),False,466 Broadway
Cybella's,464 Broadway St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Barnzu Korean Tapas,250 Hyde St,Barnzu,8rc-DM2AqXx46X2hZq7W1A,$$,4.5,216,Korean,False,711 Geary St
Dancing Yak Llc,280 Valencia St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Quickly Tea Plus Tea Bar,4482 Mission St,Indulgence Tea Bar,zR5_oDWL4OTekNh4LxBnpA,$,3.5,157,Bubble Tea,False,1490 Ocean Ave
Green Tiffin,160 14th St,Green Tiffin,zuN7a0oJra_FO6cnWQ3X8g,$,4.5,32,Food Delivery Services,False,"San Francisco, CA 95014"
Frena,404 20th Ave,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Golden State Grill Llc,4448 Mission St,House Of Prime Rib,oT08T3Vpn1I7jDmrBBRMTw,$$$,4.0,7090,American (Traditional),False,1906 Van Ness Ave
El Capitan,1196 Folsom St,El Capitan Taqueria,lwXYgmjVEaQslOeqKPurag,$,3.0,141,Mexican,False,1198 Folsom St
Aramex Restaurant Inc.,2020 Mission St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Tastebuds,600 5th Ave,Jeepney Cap Hill,4r21hUx6EHkPFbIBB7yiQA,No record in Yelp,4.0,18,Filipino,False,1356 E Olive Way
Hidden Star Orchards @Stonestown Farmers Market,3251 20th Ave,Stonestown Farmers' Market,VYSsWzzOVavuJ_EZc7-EXA,$,4.5,169,Farmers Market,False,3251 20th Ave
Nickies Irish Pub,466 Haight,Nickies,yyqwqfgn1ZmbQYNbl7s5sQ,$$,4.0,421,Sports Bars,False,466 Haight St
Indulgence Tea Bar,1490 Ocean Ave 1,Indulgence Tea Bar,zR5_oDWL4OTekNh4LxBnpA,$,3.5,157,Bubble Tea,False,1490 Ocean Ave
Queen Pickle,2948 Folsom St,Lovejoy's Tea Room,s-ihKanDRDHTD8U49HFA5Q,$$,4.5,1193,British,False,1351 Church St
601 Dupont,601 Grant Ave,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
The Hearth,4701 Geary Blvd,The Hearth,T_1DmtL6KJ6NfKWPBP7OMQ,$,4.0,104,Bars,False,4701 Geary Blvd
"Crepes Ohh La La/ Hasnia Inc,",522 522 Columbus Ave,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Ushitaro,Sloat Blvd Ste 189,Ushi Taro,SO7w-fN6uIBUEzkakrcxoQ,$$,4.0,202,Ramen,False,1382 9th Ave
Yoji Kanro,118 Diamond Cove Ter,Yoji Sushi House,3cLA9tLm7zCfEpeRTAeVmw,$$,4.0,252,Sushi Bars,False,406 Dewey Blvd
Fresh Tea Co.,1490 Ocean Ave Ste 1,Indulgence Tea Bar,zR5_oDWL4OTekNh4LxBnpA,$,3.5,157,Bubble Tea,False,1490 Ocean Ave
Ushitaro,1382 9th Ave,Ushi Taro,SO7w-fN6uIBUEzkakrcxoQ,$$,4.0,202,Ramen,False,1382 9th Ave
Gratta Wines,1605 Jerrold St,Gratta Wines,iUItI6jdRQY4fuSBT7nhRQ,$$,5.0,23,Wine Bars,False,5273 3rd St
Piri Pica,590 Valencia St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Yvonne's Southern Sweets,1605 Jerrold Ave,Yvonne's Southern Sweets,M7oenVpkw_G0PRVRasA1zQ,$,4.5,75,Bakeries,False,5128 3rd St
Kc Catering And Events Management,660 4th St Ste 328,KC Catering,ZwJ4cSoy9bNLRxPrJjXG2Q,No record in Yelp,4.0,4,Caterers,False,660 4th St
Due Dates,912 Irving St,Aziza,gXXBZQ4ajiKpzSG_gbNQaw,$$$,4.0,1942,Moroccan,False,5800 Geary Blvd
"Breakfast Labs, Llc",4104 24 St 1019,Blue Bottle Coffee,QHMPlmw5M4sJTgDAml5lRw,$,4.0,873,Coffee & Tea,False,300 Webster St
Kc Catering And Events Planning,660 4th St #328,KC Catering,ZwJ4cSoy9bNLRxPrJjXG2Q,No record in Yelp,4.0,4,Caterers,False,660 4th St
"Alembic, Sf",1725 Haight St,The Alembic,f8fYPWuRB4o225YjPEjq8w,$$,4.0,1674,Bars,False,1725 Haight St
Susiecakes Bakery,50 Fremont St,SusieCakes,MKjhQLLVP0udUB6P-rv_Aw,$$,4.0,1135,Bakeries,False,2109 Chestnut St
Taco Taco,301 Sacramento St,Taco Taco,tVQJDW4dyf7Ec7ZfQfCK4g,No record in Yelp,3.0,3,Tacos,False,301 Sacramento St
Aramex,2020 Mission St,Aramex,_WgHKxubuAJGIoNkS_auWQ,No record in Yelp,4.5,12,Pizza,False,2020 Mission St
Parklab Gardens,410 China Basin St,Parklab Garden,Zv-SOZO2pKwWzQwh9R_7Zw,No record in Yelp,5.0,4,Recreation Centers,False,1379 4th St
Teabaes.co,1490 Ocean Ave Ste 1,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Jarisara,420 Mission Bay Blvd Unit 403,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Prairie,3431 19th St,PRAIRIE,0YV-X4o4imnCMp5Mzu5JqQ,No record in Yelp,4.0,136,Italian,False,3431 19th St
Gratta Wines,1605 Jerrold Ave,Gratta Wines,iUItI6jdRQY4fuSBT7nhRQ,$$,5.0,23,Wine Bars,False,5273 3rd St
Irma's Pampanga Restaurant,2901 16th St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Bistro Kazan,930 Bush St,Bistro Kazan,PKh6B0xWfkfpcBwVRaKPhQ,No record in Yelp,4.5,32,Tapas Bars,True,930 Bush St
Broadway Coffee Bros Llc,900 North Point,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Facebook Inc.,181 Fremont St 25th Fl,Fieldwork,6JFb9x1XkypzNCL5d7YP2w,No record in Yelp,3.5,46,Marketing,False,201 3rd St
Tea 4 You,646 Irving St.,Tea 4 You,HRH7b5mmqomgjxPkh6ISNw,$,5.0,12,Coffee & Tea,True,646 Irving St
Origen,2948 Folsom St,Origen,OkO4qzhxAx-BmzMCr7547A,No record in Yelp,4.0,2,Mexican,False,2948 Folsom St
Hakashi Japanese Sushi Bar & Grill,474 3rd Street,Hakashi Japanese Bar & Grill,PoFvHQnaktxW15e-uMDAdA,$$,4.5,204,Sushi Bars,False,474 3rd St
Rice Paper Scissors,2929 19th Street,Rice Paper Scissors,rAouXY8FiazToIwDbQJqrQ,No record in Yelp,3.5,51,Caterers,False,2723 Oakdale Ave
Mauer Park,500 Church St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
City Beer Store,1148 Mission St,City Beer Store,7vqUGG9ZBZKOjOFPs8lEgQ,$$,4.5,758,"Beer, Wine & Spirits",False,1148 Mission St
"Niku Steakhouse, The Butcher, Udon Time",1 Henry Adams St,Niku Steakhouse,RYQBuRLmBs1K1zTOAHPoQQ,$$$$,4.0,211,Japanese,False,61 Division St
Thai Nghiep Ky Mi Gia Restaurant,1427 Noriega St,Thai Nghiep Ky Mi Gia,-ih1LY3Mn1-uc1yPjYpmMA,$,4.0,406,Vietnamese,False,1427 Noriega St
Dough Xx,3189 21st St 3,Beretta,4KfQnlcSu4bbTqnvGdGptw,$$,4.0,3593,Italian,False,1199 Valencia St
Dough Xx,2948 Folsom St,Beretta,4KfQnlcSu4bbTqnvGdGptw,$$,4.0,3593,Italian,False,1199 Valencia St
Mybento,214 Sutter St,My Bento,7o_Zkn7rN37Qaxk90l0neQ,No record in Yelp,4.0,17,Korean,True,214 Sutter St
The Upper Crust Baking Co.,699 Columbus Ave,Liberty Hall Pizza,MnfqewXhy_JtEGY8ENXRyw,$$,4.0,158,Pizza,False,243 N Union St
Little Creatures Brewing Company   Little Creatures Brew Pub,Mission Bay St,Little Creatures Mission Bay,rkPB7D_do8nS4hB9JtqZmg,$$,3.5,86,Breweries,False,1000A 3rd St
Fusion Poki Inc.,2123 Polk St,Poke Koma,jUbJLWOEAX9DbdSlTre5Cg,$$,4.5,384,Poke,False,1354 Park St
Ariana's Energy Bites,939 Page St,Loving Cup,8LEnV8Z0-YKPWb1nLKgQHQ,$,4.0,1089,Desserts,False,2356 Polk St
Udon Time,1 Henry Adams St,Udon Time,b62zErwZPdtjh_vk4VYpXQ,$$,3.5,136,Japanese,True,55 Division St
Niku Steakhouse,1 Henry Adams St,Niku Steakhouse,RYQBuRLmBs1K1zTOAHPoQQ,$$$$,4.0,211,Japanese,False,61 Division St
The Butcher Shop By Niku,1 Henry Adams St,The Butcher Shop by Niku Steakhouse,53hTeeM2L5NTEIL_D_HH8Q,No record in Yelp,4.5,71,Butcher,False,57 Division St
Crepe & Curry,5 Embarcadero Center,Crepe & Curry,KtXm2WllfK4NZb5-MjDBig,$,3.0,222,Creperies,False,5 Embarcadero Ctr
Sanppo Restaurant,1702 Post St,Sanppo Restaurant,wAPk6QJV6NtXxNQgSd1dkA,$$,3.0,374,Japanese,False,1702 Post St
Model Pastry Design,2904 Jackson St Apt 1,Arsicault Bakery,1U9_ZNruMLf4EL0pMoxb_w,$$,4.5,1153,Bakeries,False,397 Arguello Blvd
Allstars Donuts,399 5th St,Food Trucks at Academy Sports,m_ZQkU7ac2rU6DHNpGuauQ,No record in Yelp,5.0,2,Food Trucks,False,11901 Atlantic Blvd
Peet's Coffee And Tea Inc,855 Brannan St,Blue Bottle Coffee,lNbKeOfCMTNkoihZHqrbrg,$$,4.0,2223,Coffee & Tea,False,66 Mint St
Yancy's Saloon,734 Irving St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Isa,3324 Steiner St,Isa Restaurant,QINiEjMRGA7pKfvhPQtfBg,$$$,4.0,2035,French,False,3324 Steiner St
Freshway Fish,659 Columbus Ave,FreshWay Fish,v8JMcEnLOeB0sQCFViBAlw,$$,4.5,36,Seafood Markets,False,931 Washington Blvd
Kathy'z Louisiana Gourmet Soul,2948 Folsom St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
"Abzz Snacks, Llc (Dba Yoconut Dairy Free)",5430 3rd Street  Unit 4d,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Mac'd,2127 Polk St,MAC'D,2Mf1yO8mWcUMdnwDpSzWww,$$,4.0,211,Comfort Food,False,2127 Polk St
The Coffee Movement,1030 Washington St,Thump Coffee,-vpzhgC8GRKGPkSdBEs57A,$,4.0,486,Coffee & Tea,False,1201 E 13th Ave
Mixt Greens/mixt,901 Valencia St,MIXT,yQ26gbzvYwQiPyYpBJCnAw,$$,4.0,136,Salad,False,901 Valencia St
Little Creatures Brewing Company,1 Mission Bay St,Little Creatures Mission Bay,rkPB7D_do8nS4hB9JtqZmg,$$,3.5,86,Breweries,False,1000A 3rd St
Little Creatures Brewery,1 Mission Bay St,Little Creatures Mission Bay,rkPB7D_do8nS4hB9JtqZmg,$$,3.5,86,Breweries,False,1000A 3rd St
Bobos The Steak The Crab,1450 Lombard St,Bobo's,yNU6sPRWzVl0ngCRqat1TQ,$$$,4.0,2084,Steakhouses,False,1450 Lombard St
Bobos The Steak,1450 Lombard St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Bobs Burger Bar,1434 Lombard St,Bob's Tavern,FQ1IMJDfFeDlmyC-e0kZig,No record in Yelp,5.0,1,Burgers,False,741 Bristol Pike
La Flor De Izote,3781 Mission St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Grant Place Restaurant,737 Washington St,Joe's Steam Rice Roll,cJgOTr_PbcGE53-n8B-g1Q,No record in Yelp,4.0,61,Cantonese,False,36 St Marks Pl
Chatz Coffee,215 2nd St,Chatz Coffee Shop,Uv0rM1mX1bgTx9iKNvM-cw,$,3.5,20,Coffee & Tea,False,215 2nd St
Panchitas,530 Valencia St,Panchitas Pupuseria,yzjBQg-HAW7kOJnrmCkJ8A,$$,4.0,36,Salvadoran,False,530 Valencia St
San Francisco Proper Hotel - Villon,1100 Market St,Villon,5fUuCey44roe-YTac_zqBw,$$,4.0,235,American (New),False,1100 Market St
San Francisco Proper Hotel - Charmaine's,1100 Market St,San Francisco Proper Hotel,iIiyp6hb6fe8krTIhH4KjA,$$,3.5,94,Hotels,False,1100 Market St
San Francisco Proper Hotel - La Bande,1100 Merket St,San Francisco Proper Hotel,iIiyp6hb6fe8krTIhH4KjA,$$,3.5,94,Hotels,False,1100 Market St
Simply Delish,1605 Jerrold Ave,Simply Delish,HYXGh6PpjeMJo3-EU7pyEA,$,4.5,66,Thai,False,5668 3rd St
Cow Marlowe Sf Llc,3154 Fillmore St,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Cow Marlowe,3154 Fillmore St,Cow Marlowe,B_DkG3QGsINbTLhxrCL3FA,No record in Yelp,3.5,59,Burgers,True,3154 Fillmore St
Izakaya Yoki,900 Bush St Ste C101,Izakaya Yoki,bUllrq8bcGbn9TKtVcjL-A,$$,4.0,181,Izakaya,False,900 Bush St
Izakaya Yoki,900 Bush St Ste C101,Izakaya Yoki,bUllrq8bcGbn9TKtVcjL-A,$$,4.0,181,Izakaya,False,900 Bush St
Verjus Wine Bar And Retail,550 Washington St,Bâtard,0Q3xCYWK2N-wJfXjLa9dFg,$$$$,4.0,389,Modern European,False,239 West Broadway
Poets Cafe,100 Larkin St,Poet's Cafe - San Francisco Main Library Cafe,EPX_VLWZEQow3tdw_WacYA,$$,3.0,8,Cafes,False,100 Larkin St
Sfbayker,290 Alhambra St Apt 2,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Eightea,91 6th St St,Eightea,LFCNEhjIioyHBFE6uLfikw,$,4.0,70,Bubble Tea,False,91 6th St
Word A Cafe,3rd St,Word Of Mouth Truck,ylvMdzshyVIIMluPzH7uTA,$$,4.0,61,Food Trucks,False,"Los Angeles, CA 90001"
Nommo,396 Harrison St Ste 100,Nommo,yJqHwUJxgd4aW6aJFdFVSg,No record in Yelp,4.0,41,American (Traditional),False,396 Harrison St
Obispo,355 11th St Ste 100,Obispo,BtXUsgGkUc_ljZcchN6_hg,$$,4.5,74,Caribbean,False,3266 24th St
Souvla,531 Divisadero St,Souvla,wdqRLypbCo7KCyhLNB8mIQ,$$,4.0,436,Mediterranean,False,531 Divisadero St
Chanvi,1063 Market St,Chanvi Eatery,5ZpwZiSh2jVSjyO54LsMiw,$,4.5,234,Indian,False,1063 Market St
Little Creatures Brew Pub,1 Mission Bay St,Little Creatures Mission Bay,rkPB7D_do8nS4hB9JtqZmg,$$,3.5,86,Breweries,False,1000A 3rd St
Luke's Lobster,92 2nd St,Luke's Lobster FiDi,kxykwx5qTWBhlMh18MQ82Q,$$,4.5,1140,Seafood,False,26 S William St
Memphis Minnie's Bbq Joint,576 Haight St,Memphis Minnie's,VlNE3m59v836-t3V4ZaOWQ,$$,3.5,1574,Barbeque,False,576 Haight St
Mamo,3659 Buchanan St,MaMo,mdVq5YJoRhbQl2DD9BPQHw,$$,5.0,87,American (New),False,3659 Buchanan St
Mama Coco's Restaurant,4995 Mission St,Mama Coco's Restaurant,NZKDLGFZ1ahZTtTgA3_yew,No record in Yelp,4.5,30,American (Traditional),False,4995 Mission St
Mochiya,4104 24th St #1019,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
Neutral,3157 Geary Blvd,Neutral Coffee & Tea,f217K42Tq5pp1EEKyVU4hw,No record in Yelp,5.0,2,Coffee & Tea,False,683 Commercial St
Neutral,3157 Geary Blvd,Neutral Coffee & Tea,f217K42Tq5pp1EEKyVU4hw,No record in Yelp,5.0,2,Coffee & Tea,False,683 Commercial St
Sajj``,485 Pine St,Tahaza Hummus Kitchen,io-96LKZ13HM992__Pao3A,$,4.0,181,Mediterranean,False,1 Canal Park
"U Haul ,  Xx - Sf",1188 Mission St 1313,Cummings Moving Company,f_zjtY_L3l2zHua3q-KFfg,No record in Yelp,4.5,91,Movers,False,275 S Maple Ave
The Lucky Pig,791 O'farrell St,Lucky Pig,G3nORz3a6ZnHkOwc7xppdw,$$,4.0,135,Korean,False,791 O'farrell St
The Story Of Ramen,3231 24th St,The Story of Ramen,T2_2YZNHFvDTyLWwO90Y2Q,$,4.5,67,Cooking Classes,False,3231 24th St
Gourmet Noodle House Inc,3751 Geary Blvd,Shanghai House,Q25GDNRvf4dKzgwWli2oCg,$$,3.5,679,Shanghainese,False,3641 Balboa St
Upfordaz,1198 Valencia St #105,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp,No record in Yelp
El Trebol Sports Bar,3149 22nd St,El Mexicano,L_0Cx3Yidfdlu5NWcbxMjQ,No record in Yelp,3.0,1,Bars,False,3088 24th St
Piccolo Pete,2155 Bayshore Blvd,Piccolo Petes Cafe,FzLd7AAQ0iDmNCdrie3P1Q,$,5.0,262,Coffee & Tea,True,2155 Bayshore Blvd
