,Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries
12,0017462-01-001,17462,Lucca Ravioli Co Inc,Lucca Ravioli Co Inc,1100 Valencia St,San Francisco,CA,94110.0,10/1/68,4/30/19,10/1/68,4/30/19,,,,,H28 H73 WM18,,8.0,Mission
13,0022850-01-001,22850,Pompeis Enterprises Corp,Pompeis Grotto,340 Jefferson St,San Francisco,CA,94133.0,10/1/68,6/30/15,10/1/68,6/30/15,,,,,,,3.0,North Beach
14,0024815-01-001,24815,Shawa Monzer,Sams,618 Broadway St,San Francisco,CA,94133.0,10/1/68,6/13/16,10/1/68,6/13/16,,,,,,,,
15,0028046-01-001,28046,Tarantinos Inc,Tarantinos Inc,206 Jefferson St,San Francisco,CA,94133.0,10/1/68,1/25/18,10/1/68,1/25/18,,,,,,,3.0,North Beach
16,1089523-08-161,477318,Grady Mariko Grady Kevin,Aedan,3617 Wawona St,San Francisco,CA,94116.0,3/8/13,9/29/16,11/18/15,9/29/16,,,,,,,,
17,1089524-08-161,477318,Grady Mariko Grady Kevin,Aedan,1 Ferry Bldg  50,San Francisco,CA,94111.0,3/8/13,9/29/16,8/15/16,9/29/16,,,,,,,,
18,0038965-01-001,38965,Keane Nancy,3300 Club,3300 Mission St,San Francisco,CA,94110.0,10/1/68,6/18/16,10/1/68,6/18/16,,,,,,,9.0,Bernal Heights
19,0049670-01-001,49670,Ellis Kelly,Lion Pub The,2062 Divisadero St,San Francisco,CA,94115.0,7/1/69,9/11/16,7/1/69,9/11/16,,,,,,,2.0,Pacific Heights
20,0050339-01-001,50339,Dominguez Carmen,Dominguez Mexican Bakery,2951 24th St,San Francisco,CA,94110.0,10/1/68,12/31/18,10/1/68,12/31/18,,,,,H73 H89,,9.0,Mission
21,0055730-01-001,55730,Stard Inc,Covered Wagon Hotel,800 Moscow St,San Francisco,CA,94112.0,4/15/02,12/31/18,2/11/05,8/31/02,,,,,,,,
22,0055730-03-001,55730,Stard Inc,Simple Espresso,1133 1/2 Shotwell St,San Francisco,CA,94110.0,4/15/02,12/31/18,4/15/02,8/31/02,,,,,,,9.0,Mission
23,0068466-01-001,68466,Cathay Restaurant Of Ca Inc,Cathay House,718 California St,San Francisco,CA,94108.0,4/17/71,12/31/17,4/17/71,12/31/17,,,,,D04 H26,,3.0,Chinatown
24,0078507-01-001,78507,Liverpool Lils  Inc,Liverpool Lils Restaurant,2942 Lyon St,San Francisco,CA,94123.0,9/4/73,5/29/18,9/4/73,5/29/18,,,,,,,2.0,Marina
25,0080251-01-001,80251,Black Martha,Peter D's Restaurant,2201 Van Ness Ave,San Francisco,CA,94109.0,9/1/73,3/19/18,9/1/73,3/19/18,,,,,H25,,,
26,0084298-01-001,84298,Hawker Thomas R-Warren Ross,Pac Cafe,7000 Geary Blvd,San Francisco,CA,94121.0,7/4/74,12/31/17,7/4/74,12/31/17,,,,,H25,,1.0,Outer Richmond
27,0087062-01-001,87062,Henry & Diana Chung Co Inc,Hunan Restaurant,924 Sansome St,San Francisco,CA,94111.0,2/1/74,5/12/17,2/1/74,5/12/17,,,,,,,3.0,Financial District/South Beach
28,0087062-01-002,87062,Henry & Diana Chung Co Inc,Hunan Restaurant,1016 Bryant St,San Francisco,CA,94103.0,2/1/74,5/12/17,2/1/74,12/31/07,,,,,,,6.0,South of Market
29,0113774-02-001,113774,Ten Asa Usa Inc,Mifune Restaurant,1737 Post St,San Francisco,CA,94115.0,9/23/78,10/15/16,9/23/78,10/15/16,,,,,,,,
30,0117710-01-001,117710,Aburahma Munir,Turk & Larkin Deli,476 Turk St,San Francisco,CA,94102.0,4/28/79,9/30/18,4/28/79,9/30/18,,,,,H26,,6.0,Tenderloin
31,0125707-01-001,125707,Badra Pierre & Antoinette,Twilight Cafe,2600 Mcallister St,San Francisco,CA,94118.0,5/17/80,4/13/19,5/17/80,4/13/19,,,,,H25 H31 WM18,,1.0,Lone Mountain/USF
32,0125707-02-001,125707,Badra Pierre & Antoinette,2600 Mcallister St Apts,2600 Mcallister St,San Francisco,CA,94118.0,5/17/80,4/13/19,5/17/80,4/13/19,,,,,,,1.0,Lone Mountain/USF
33,0130679-01-001,130679,Las Margaritas Inc,Las Margaritas Restaurant,2801 Leavenworth St,San Francisco,CA,94133.0,7/5/81,11/19/17,7/5/81,11/19/17,,,,,H26,,2.0,Russian Hill
34,0135198-01-001,135198,Missouri Salvage Inc,Blooms Saloon,1318 18th St,San Francisco,CA,94107.0,4/7/82,11/4/16,4/7/82,11/4/16,,,,,,,10.0,Potrero Hill
35,0138351-01-002,138351,Blondies Pizza Inc,Blondies Pizza,63 Powell Street,San Francisco,CA,94102.0,12/1/82,5/31/16,1/2/96,5/31/16,,,,,,,3.0,Tenderloin
36,0141155-01-001,141155,Philip Bellber & Isabel Pak,Cha Cha Cha Restaurant,1801 Haight St,San Francisco,CA,94117.0,5/19/83,6/30/17,5/19/83,6/30/17,,,,,H26,,5.0,Haight Ashbury
37,0144323-01-001,144323,Kalogerias Spiros A-Panagiotis,Viva Pizza Restaurant,318 Columbus Ave,San Francisco,CA,94133.0,12/1/83,3/10/17,6/3/03,3/10/17,,,,,,,3.0,North Beach
38,0144323-04-001,144323,Kalogerias Spiros A-Panagiotis,Estia Restaurant,1224 Grant Ave,San Francisco,CA,94133.0,12/1/83,3/10/17,8/29/03,3/10/17,,,,,,,,
39,0144323-05-001,144323,Kalogerias Spiros A-Panagiotis,Greco Roman Catering,316 Columbus Ave,San Francisco,CA,94133.0,12/1/83,3/10/17,10/25/11,3/10/17,,,,,,,3.0,North Beach
40,0148461-02-001,148461,Alvarez Damian O,Damian Produce,3024 San Bruno Ave B,San Francisco,CA,94134.0,8/15/01,9/6/16,8/15/01,9/6/16,,,,,,,9.0,Portola
41,0148461-04-001,148461,Alvarez Damian O,Goza Goza Taco,3024 San Bruno Ave #B,San Francisco,CA,94134.0,8/15/01,9/6/16,6/1/07,9/6/16,,,,,,,,
42,0150508-03-001,150508,Shilaimon Albert,Venetian Deli & Cafe,882 Sutter St,San Francisco,CA,94109.0,4/1/85,6/30/18,7/1/13,12/1/15,,,,,,,3.0,Nob Hill
43,0150508-01-001,150508,Shilaimon Albert,Pacific Business Machines,882 Sutter St,San Francisco,CA,94109.0,4/1/85,6/30/18,4/1/85,11/1/16,,,,,,,3.0,Nob Hill
44,0150508-02-001,150508,Shilaimon Albert,Albertos Food Market,882 Sutter St,San Francisco,CA,94109.0,4/1/85,6/30/18,6/20/08,8/30/13,,,,,,,3.0,Nob Hill
45,0151758-01-001,151758,Ho Wai Gee,Sun Kwong Restaurant,1400 Jackson St,San Francisco,CA,94109.0,7/16/85,6/30/17,7/16/85,6/30/17,,,,,,,3.0,Russian Hill
46,0152683-01-001,152683,Kim Man Jong-Chung Ki Young,Sushi Boat Restaurant,389 Geary St,San Francisco,CA,94102.0,9/10/85,12/31/16,9/10/85,12/31/16,,,,,,,3.0,Tenderloin
47,0156417-02-001,156417,Abdel Fattah Mohamed Amin,Daily Health,1235 9th Ave,San Francisco,CA,94122.0,4/22/93,12/30/18,4/22/93,12/30/18,,,,,H07 WM18,,5.0,Inner Sunset
48,0157943-02-001,157943,Leung Wing C,Grasslands,905 Kearny St,San Francisco,CA,94133.0,3/9/11,12/31/17,3/9/11,12/31/17,,,,,H86,,3.0,Chinatown
49,0158228-01-001,158228,South Park Cafe Inc,South Park Cafe Inc,108 Park St,San Francisco,CA,94107.0,4/1/86,9/29/17,4/1/86,9/29/17,,,,,H28,,9.0,Bernal Heights
50,0161137-01-001,161137,Northern Cal Holding Corp,Golden Boy Pizza,4531 Mission St,San Francisco,CA,94112.0,11/1/86,6/30/19,11/1/86,4/24/15,,,,,,,11.0,Excelsior
51,0161245-01-001,161245,Cheese Steak Shop Inc The,Cheese Steak Shop The,1716 Divisadero St,San Francisco,CA,94115.0,1/1/87,3/26/18,1/1/87,3/26/18,,,,,H25,,2.0,Pacific Heights
52,0164262-01-001,164262,Sang William Ck,Shangrila Vegetarian Restrnt,2026 Irving St,San Francisco,CA,94122.0,6/16/87,9/18/18,6/16/87,9/18/18,,,,,H24,,4.0,Sunset/Parkside
53,0168349-01-002,168349,Durham Don D,Bills Place,2315 Clement St,San Francisco,CA,94121.0,11/13/87,3/17/16,11/13/87,3/17/16,,,,,,,1.0,Outer Richmond
54,0168374-04-001,168374,Il Fornaio America Corp,Un Poco Di Tuto Bakery,1265 Battery St,San Francisco,CA,94111.0,3/1/81,10/28/18,1/1/91,10/28/18,,,,,,,3.0,Financial District/South Beach
55,0168374-05-001,168374,Il Fornaio America Corp,Il Fornaio Gastronomia Rest,1265 Battery St,San Francisco,CA,94111.0,3/1/81,10/28/18,1/1/91,10/28/18,,,,,H26,,3.0,Financial District/South Beach
56,0181657-01-001,181657,Chou Chun C,Chung King Restaurant,606 Jackson St,San Francisco,CA,94133.0,11/1/88,7/31/17,11/1/88,7/31/17,,,,,,,3.0,Chinatown
57,0182113-01-001,182113,Eastern Arrogance Inc,Connecticut Yankee,100 Connecticut St,San Francisco,CA,94107.0,12/15/88,10/16/15,12/25/11,10/16/15,,,,,,,10.0,Potrero Hill
58,0182286-01-001,182286,Siri John C,Piccolo Pete,2155 Bay Shore Blvd,San Francisco,CA,94134.0,4/1/88,5/25/18,4/1/88,5/25/18,,,,,H28 H31 H73,,10.0,Bayview Hunters Point
59,0183133-01-001,183133,Min Hwang & Kyung Hae,Eddies Cafe,800 Divisadero St,San Francisco,CA,94117.0,11/30/88,2/28/19,11/30/88,2/28/19,,,,,H24,,5.0,Western Addition
60,0183285-02-001,183285,Hsieh Shen-Fu,Jj Ice Cream,1152 Irving St,San Francisco,CA,94122.0,1/1/89,10/10/16,6/1/06,10/10/16,,,,,,,5.0,Inner Sunset
61,0184756-01-001,184756,Mogannan Abe-Jimmy Joseph,Dillers Deli,348 Pine St,San Francisco,CA,94104.0,1/1/89,12/14/18,1/1/89,12/14/18,,,,,H25 WM18,,3.0,Financial District/South Beach
62,1079198-06-161,1038493,Khadka Ajay Raj,Om Indian Cuisine,1668 Haight St,San Francisco,CA,94117.0,6/28/16,2/16/17,6/28/16,2/16/17,,,,,,,,
63,0186250-01-001,186250,Supple David E,Dave's,29 3rd St,San Francisco,CA,94103.0,4/1/89,1/1/16,4/1/89,1/1/16,,,,,,,6.0,Financial District/South Beach
64,0189531-01-001,189531,Kimura Toshiaki & Rumiko,Kappa Restaurant,1700 Post St K,San Francisco,CA,94115.0,7/6/89,8/10/16,7/6/89,8/10/16,,,,,,,5.0,Japantown
65,0190050-01-001,190050,Azzollini Anthony C,Caffe Roma Coffee Roasting Co,526 Columbus Ave,San Francisco,CA,94133.0,10/1/89,2/28/18,10/1/89,2/28/18,,,,,H24,,3.0,North Beach
66,0190597-01-001,190597,Valbonesi Remo & Maria G,Yancys Saloon,736 Irving St,San Francisco,CA,94122.0,8/8/89,6/30/17,8/8/89,6/30/17,,,,,,,5.0,Inner Sunset
67,0194036-01-001,194036,Lu Martin,Shiki,251 3rd St,San Francisco,CA,94103.0,3/1/90,9/30/15,3/1/90,9/30/15,,,,,,,,
68,0194036-03-001,194036,Lu Martin,Sushi Chef Training Center,251 3rd St,San Francisco,CA,94103.0,3/1/90,9/30/15,9/28/01,9/30/15,,,,,,,,
69,0194036-04-001,194036,Lu Martin,Sushiclub.com,71 5th St,San Francisco,CA,94103.0,3/1/90,9/30/15,1/1/09,9/30/15,,,,,,,,
70,0194036-05-001,194036,Lu Martin,Sushi Club,71 5th St,San Francisco,CA,94103.0,3/1/90,9/30/15,1/1/09,9/30/15,,,,,,,,
71,0194036-06-001,194036,Lu Martin,Neway Investment,71 5th St,San Francisco,CA,94103.0,3/1/90,9/30/15,2/5/10,9/30/15,,,,,,,,
72,0194256-10-001,194256,Carlson William,Jacks Bar,2801 Leavenworth St #J31-32,San Francisco,CA,94133.0,4/1/98,12/1/18,4/1/98,12/1/18,,,,,D04,,,
73,0194256-11-001,194256,Carlson William,Beach St Bar,2801 Leavenworth St #J31-32,San Francisco,CA,94133.0,4/1/98,12/1/18,4/1/98,12/1/18,,,,,,,,
74,0194256-12-001,194256,Carlson William,Jacks Cannery,2801 Leavenworth St,San Francisco,CA,94133.0,4/1/98,12/1/18,4/1/98,12/1/18,,,,,H26,,,
75,0197988-01-001,197988,Tominio Remedios,Babys Eatery & Palabok,4609 Mission St,San Francisco,CA,94112.0,2/17/95,12/28/17,2/17/95,12/29/17,,,,,,,11.0,Excelsior
76,0200157-01-001,200157,Hurley John C,Garibaldis On Presidio,347 Presidio Ave,San Francisco,CA,94115.0,11/15/90,4/17/16,11/15/90,4/17/16,,,,,,,,
77,0201197-01-001,201197,Junasser Enterprises Inc,Burger King,4780 Mission St,San Francisco,CA,94112.0,5/30/89,5/4/16,5/30/89,5/4/16,,,,,,,11.0,Outer Mission
78,0202433-01-001,202433,Guo-Ju & Ngar Kuen Li,Kenny's Restaurant,518 Van Ness Ave,San Francisco,CA,94102.0,2/1/91,3/31/18,2/1/91,3/31/18,,,,,H25,,6.0,Tenderloin
79,0203264-01-001,203264,Caffe Delle Stelle Inc,Caffe Delle Stelle,395 Hayes St,San Francisco,CA,94102.0,1/1/99,2/21/18,1/1/99,2/21/18,,,,,H26,,,
80,0204361-01-001,204361,Choi Choi T & Yuet Leung,4739 Mission St Building,4739 Mission St,San Francisco,CA,94112.0,1/1/90,1/24/18,1/1/90,1/24/18,,,,,,,,
81,0204361-02-001,204361,Choi Choi T & Yuet Leung,Golden Coffee,901 Sutter St,San Francisco,CA,94109.0,1/1/90,1/24/18,7/7/95,1/24/18,,,,,,,3.0,Nob Hill
82,0205873-02-001,205873,Gomez Reina H,Reinas Restaurant,5479 Mission St,San Francisco,CA,94112.0,11/20/02,12/20/16,11/20/02,12/20/16,,,,,,,11.0,Excelsior
83,0205873-03-001,205873,Gomez Reina H,Taqueria Reina's,5300 Mission St,San Francisco,CA,94112.0,11/20/02,12/20/16,8/1/07,2/1/16,,,,,,,11.0,Outer Mission
84,0206514-03-001,206514,Tang Kai Yung,Jade Cafe,18 Geary Blvd,San Francisco,CA,94108.0,7/31/91,4/1/19,6/8/02,6/30/14,,,,,,,,
85,0206514-04-001,206514,Tang Kai Yung,Mikado Sushi Restaurant,1684 Bryant St,San Francisco,CA,94103.0,7/31/91,4/1/19,5/1/03,3/31/13,,,,,,,9.0,Mission
86,0207291-01-001,207291,Lucchesi Graziano,Caffe Puccini,411 Columbus Ave,San Francisco,CA,94133.0,8/9/91,10/10/17,8/9/91,10/10/17,,,,,H24,,3.0,Chinatown
87,0300253-01-001,300253,Nice Ventures Lp,Rose Pistola,532 Columbus Ave,San Francisco,CA,94133.0,3/17/96,2/7/17,3/17/96,2/7/17,,,,,,,3.0,North Beach
88,0300916-01-001,300916,Huynh Cao & Tran Phung Quan,College Market,995 Ellis St,San Francisco,CA,94109.0,12/9/96,9/6/19,12/9/96,9/6/19,,,,,H28 H31 H73,,5.0,Western Addition
89,0300916-02-001,300916,Huynh Cao & Tran Phung Quan,977 Bistro,977 Ellis St,San Francisco,CA,94109.0,12/9/96,9/6/19,4/20/09,5/15/12,,,,,,,5.0,Western Addition
90,0301136-02-001,301136,Zhang Xiao,Etc Enterprise Intl (U.s.a),770 C Sacramento St,San Francisco,CA,94108.0,10/1/96,12/30/17,8/31/99,12/30/17,,,,,,,,
91,0301136-03-001,301136,Zhang Xiao,Chinese Svc Ctr Of No America,770 C Sacramento St,San Francisco,CA,94108.0,10/1/96,12/30/17,8/31/99,12/30/17,,,,,,,,
92,0301136-04-001,301136,Zhang Xiao,China Us Council Promotion Tra,770 C Sacramento St,San Francisco,CA,94108.0,10/1/96,12/30/17,8/31/99,12/30/17,,,,,,,,
93,0301136-05-001,301136,Zhang Xiao,Int'l Svc Ctr Of No America,770 C Sacramento St,San Francisco,CA,94108.0,10/1/96,12/30/17,8/31/99,12/30/17,,,,,,,,
94,0301136-06-001,301136,Zhang Xiao,Oriental Gourmet,774 Sacramento St C,San Francisco,CA,94108.0,10/1/96,12/30/17,7/2/02,12/30/17,,,,,,,3.0,Chinatown
95,0301136-07-001,301136,Zhang Xiao,Asia-American Restaurant Assn,754 Sacramento St,San Francisco,CA,94108.0,10/1/96,12/30/17,7/2/02,12/30/17,,,,,,,3.0,Chinatown
96,0301136-08-001,301136,Zhang Xiao,American Tour Services,754 Sacramento St,San Francisco,CA,94108.0,10/1/96,12/30/17,10/23/08,12/30/17,,,,,,,3.0,Chinatown
97,0301229-01-001,301229,Tran Nhung Kim,Muffins Muffins,123 Second St,San Francisco,CA,94105.0,10/3/94,7/28/17,10/3/94,7/28/17,,,,,,,6.0,Financial District/South Beach
98,0301235-02-001,301235,Parrish Candyce L,Hot Dog Bills #1,599 Skyline Blvd,San Francisco,CA,94132.0,1/1/97,4/1/16,1/1/97,4/1/16,,,,,,,,
99,0301400-01-001,301400,Yee Norman Yu Bing K,Ming's Fong Lam Restaurant,2878 24th St,San Francisco,CA,94110.0,1/1/97,5/5/18,1/1/97,5/5/18,,,,,H24,,9.0,Mission
100,0301822-01-001,301822,Wong Deborah,Golden Island Cafe,1300 Noriega St,San Francisco,CA,94122.0,1/15/97,11/16/16,1/15/97,11/16/16,,,,,,,4.0,Sunset/Parkside
101,0302119-04-001,302119,Quintos John A,Cento 330 Ritch Street,372 Ritch St,San Francisco,CA,94107.0,4/30/08,3/30/18,2/23/12,3/30/18,,,,,H24,,,
102,0302123-01-001,302123,Wok Shop Cafe,Wok Shop Cafe,1307 Sutter St,San Francisco,CA,94109.0,1/1/97,7/31/17,1/1/97,7/31/17,,,,,,,2.0,Western Addition
103,0302181-01-001,302181,Tang Ting Yin/fung Gloria,Lawrence Bakery Cafe,2290 Mission St,San Francisco,CA,94110.0,1/22/97,7/15/17,1/22/97,7/15/17,,,,,,,9.0,Mission
104,0302576-02-001,302576,Lee John H,Vikings Giant Submarines,1300 Ocean Ave,San Francisco,CA,94122.0,10/1/97,12/21/17,10/1/97,12/21/17,,,,,,,,
105,0303336-02-001,303336,Singh Dharampal & Singh Nirmal,India Clay Oven Restaurant/bar,2436 Clement St,San Francisco,CA,94121.0,1/1/97,11/30/15,4/8/04,11/30/15,,,,,,,1.0,Outer Richmond
106,0303365-01-001,303365,Phu Hao & Baum Harold,Clement Street Bar & Grill,708 Clement St,San Francisco,CA,94118.0,3/1/97,3/22/17,3/1/97,3/22/17,,,,,,,1.0,Inner Richmond
107,0303608-02-001,303608,Uva Inc,L'osteria Del Forno,519 Columbus Ave,San Francisco,CA,94133.0,3/4/97,9/30/17,2/15/00,9/30/17,,,,,H24,,3.0,Chinatown
108,0303652-01-001,303652,Volume Services Inc,Volume Services Inc,1 Sbc Park,San Francisco,CA,94124.0,4/1/93,12/31/17,1/1/05,12/31/17,,,,,,,,
109,0303652-02-001,303652,Volume Services Inc,Volume Services America,1 Monster Park,San Francisco,CA,94124.0,4/1/93,12/31/17,1/1/05,7/31/14,,,,,,,,
110,0303652-03-001,303652,Volume Services Inc,Centerplate,600 Jamestown Ave,San Francisco,CA,94107.0,4/1/93,12/31/17,12/1/12,7/31/14,,,,,,,10.0,Bayview Hunters Point
111,0303652-04-001,303652,Volume Services Inc,Centerplate,865 Market St C-251,San Francisco,CA,94103.0,4/1/93,12/31/17,4/1/93,12/31/17,,,,,,,6.0,South of Market
112,0303909-01-001,303909,Jardiniere Llc,Jardiniere Restaurant,300 Grove St,San Francisco,CA,94102.0,3/12/97,7/19/19,3/12/97,7/19/19,,,,,D04 D19 H26 P48,,5.0,Hayes Valley
113,0304703-01-001,304703,Hanhan George L,Brannan St Cafe,274 Brannan St,San Francisco,CA,94107.0,1/1/97,1/26/18,1/1/97,1/26/18,,,,,,,,
114,0304918-01-001,304918,Twal Issa Sefte,Coffee Cabin,899 Hyde St,San Francisco,CA,94102.0,4/16/97,6/30/16,4/16/97,6/30/16,,,,,,,,
115,0305592-01-001,305592,Yang Annie Deng,Good Luck Market & Deli,621 Kearny St,San Francisco,CA,94108.0,6/1/97,1/1/19,6/1/97,1/1/19,,,,,H28 H31,,3.0,Chinatown
116,0306174-04-001,306174,Kolsky Jeffrey A,Chakratron,63 Palm Ave 4,San Francisco,CA,94118.0,10/6/10,5/1/17,10/6/10,5/1/17,,,,,,,2.0,Presidio Heights
117,0307722-01-001,307722,House Of Chen,House Of Chen,335 Noe St,San Francisco,CA,94114.0,7/1/97,8/15/17,7/1/97,8/15/17,,,,,,,8.0,Castro/Upper Market
118,0308324-01-001,308324,Obando Guillermo,The Cake House,5169 Mission St,San Francisco,CA,94112.0,2/1/96,4/30/18,2/1/96,4/30/18,,,,,H28,,,
119,0308739-02-001,308739,Catalano David M,El Beach Burrito,3914 Judah St,San Francisco,CA,94122.0,10/9/03,6/28/19,10/9/03,6/28/19,,,,,H24,,,
120,0312263-01-001,312263,Ng Kam Bill/yu Anna/choi Andy,New Moon Restaurant,1247 Stockton St,San Francisco,CA,94133.0,1/1/98,12/31/16,1/1/98,12/31/16,,,,,,,3.0,Chinatown
121,0311999-01-001,311999,Specialty Brewing Restaurant,E & O Trading Company,314 Sutter St,San Francisco,CA,94108.0,8/12/97,7/1/15,8/12/97,7/1/15,,,,,,,3.0,Financial District/South Beach
122,0311999-02-001,311999,Specialty Brewing Restaurant,E & O Asian Kitchen,314 Sutter St,San Francisco,CA,94108.0,8/12/97,7/1/15,7/1/12,7/1/15,,,,,,,,
123,0312369-02-001,312369,Tang Tung Shing,Hoy Sun Restaurant,2520 San Bruno Ave,San Francisco,CA,94134.0,1/1/09,6/30/16,1/1/09,6/30/16,,,,,,,9.0,Portola
124,0312573-01-001,312573,Aoyama Kimiaki,Sushi Zone And Deli,1815 Market St 5,San Francisco,CA,94103.0,1/13/98,8/31/17,1/13/98,8/31/17,,,,,,,8.0,Mission
125,0312662-01-001,312662,J G X Corporation,Lefty O'doul's,333 Geary St,San Francisco,CA,94102.0,1/5/98,2/1/17,1/5/98,2/1/17,,,,,,,,
126,0313112-01-001,313112,Shao Jia Tao,Johns Catering,30 Pueblo St,San Francisco,CA,94134.0,1/26/98,2/26/19,1/26/98,2/26/19,,,,,D19 H76,,10.0,Visitacion Valley
127,0313249-01-001,313249,Mccarthys On Mission Llc,Original Mccarthys,2327 Mission St,San Francisco,CA,94110.0,4/1/98,9/3/16,4/1/98,9/3/16,,,,,H26,,,
128,0313249-02-001,313249,Mccarthys On Mission Llc,2191 Mission St Apts,2191 Mission St,San Francisco,CA,94110.0,4/1/98,9/3/16,4/1/07,9/3/16,,,,,,,9.0,Mission
129,0315056-01-001,315056,Park Chow Llc,Park Chow,1240 9th Ave,San Francisco,CA,94122.0,4/15/98,1/21/18,4/15/98,1/21/18,,,,,D04 H26,,5.0,Inner Sunset
130,0315543-01-001,315543,Zodiac Club Llc,Zodiac Club,718 14th St,San Francisco,CA,94114.0,4/20/98,6/8/17,4/20/98,6/8/17,,,,,,,,
131,0315543-02-001,315543,Zodiac Club Llc,The Residence,718 14th St,San Francisco,CA,94114.0,4/20/98,6/8/17,1/1/10,6/8/17,,,,,,,,
132,0316372-01-001,316372,Crepe Express Corp,Crepe Express,1476 Haight St,San Francisco,CA,94117.0,5/27/98,2/28/18,5/27/98,2/28/18,,,,,H24,,5.0,Haight Ashbury
133,0316573-02-001,316573,Pad Thai Restaurant Inc,Pad Thai Restaurant,3259 Mission St,San Francisco,CA,94110.0,5/13/98,2/16/18,5/14/98,2/16/18,,,,,H26,,9.0,Bernal Heights
134,0317784-01-001,317784,Wisner Makiko,Bazaar Cafe,5927 California St,San Francisco,CA,94121.0,7/15/98,8/31/18,7/15/98,8/31/18,,,,,H24 P54,,1.0,Outer Richmond
135,0318486-01-001,318486,Forbes Island Corp,Forbes Island Corp,Pier 39,San Francisco,CA,94119.0,8/1/98,5/30/17,8/1/98,5/30/17,,,,,,,,
136,0320119-03-001,320119,Laws Claude,Chitterlings Express,235 Eddy St,San Francisco,CA,94102.0,6/25/97,6/30/19,10/30/12,6/30/19,,,,,,,,
137,0320119-04-001,320119,Laws Claude,Claude Laws,235 Eddy St,San Francisco,CA,94102.0,6/25/97,6/30/19,10/30/12,6/30/19,,,,,,,,
138,0320971-01-001,320971,B J Group Inc,Nan King Road Bistro,1360 9th Ave,San Francisco,CA,94122.0,11/1/98,4/29/16,11/1/98,4/29/16,,,,,,,,
139,0322356-01-001,322356,Baltazar Maria E & Gustavo,Go Getters Pizza,69 Gough St,San Francisco,CA,94102.0,1/5/99,2/29/16,1/5/99,2/29/16,,,,,,,5.0,Hayes Valley
140,0322356-06-001,322356,Baltazar Maria E & Gustavo,Go Getters Deli,100 Gough St,San Francisco,CA,94102.0,1/5/99,2/29/16,3/1/10,2/29/16,,,,,,,5.0,Hayes Valley
141,0322356-07-001,322356,Baltazar Maria E & Gustavo,Don Agapito's,100 Gough St,San Francisco,CA,94102.0,1/5/99,2/29/16,6/15/13,2/29/16,,,,,,,5.0,Hayes Valley
142,0322521-02-001,322521,Cancun Taqueria Inc,Tlaloc Sabor Mexicano,525 Commercial St,San Francisco,CA,94111.0,1/10/99,2/18/16,7/1/02,2/18/16,,,,,,,3.0,Chinatown
